vehicle,rural,urban,motorway
2012BYD e6,0.4089316133132003,0.510029741140184,0.5510059335940266
2012NISSAN NISSAN LEAF UPR,0.25689765597490133,0.34859526887245285,0.3656723979604458
2013Azure Dynamics Transit Connect Electric,0.44199169844822866,0.5866033454550905,0.6376493682244003
2013CODA CODA,0.35797237152891126,0.5021917016897502,0.46882050986880114
2013Toyota SCION iQ EV,0.19810231034988549,0.2738790489755808,0.2764051239938311
2014HONDA FIT EV,0.21197293585252924,0.30219042457346507,0.2907329892880647
2014Tesla Model S P85D,0.29278836246738743,0.42228571129766435,0.37255585790076756
2014Toyota RAV4 EV,0.32486319705293754,0.4471152008710358,0.44425670044246823
2015BYD e6,0.4141477797014773,0.5365466902785208,0.5344575752112722
2015Fiat 500e,0.22140611907629942,0.3214399260311887,0.29798806419452345
2016Bluecar Bluecar,0.34386327019450047,0.46231024072860427,0.4846679294193238
2016BMW I3 BEV,0.2079368501277367,0.28693963579471893,0.2923483555365905
2016BYD e6,0.34279251349590173,0.4211618156835709,0.4757995047142828
2016CHEVROLET SPARK EV,0.2134124014951561,0.3051571577861941,0.3008018879382656
2016Fiat 500e,0.22694358672035894,0.31688360609855265,0.3181788663253434
2016Ford FOCUS,0.2506884503794581,0.34440339572335255,0.351776796111983
2016Kia Soul electric,0.23126634541652039,0.29868082864140255,0.34618053914319546
2016Mercedes-Benz B-class electric drive,0.3161682005892328,0.4613000966817558,0.410258485277041
2016Mercedes-Benz smart fortwo electric drive (convertible),0.23480941484563767,0.2970243713375103,0.37022226841055
2016MITSUBISHI i-MiEV,0.22377582382733707,0.30823660073427855,0.3153032718023622
2016NISSAN NISSAN LEAF S,0.22452367469903045,0.3024078354483721,0.3273709682174366
2016NISSAN NISSAN LEAF SL,0.22358327987112991,0.30168444018366963,0.32590651046866176
2016NISSAN NISSAN LEAF SV,0.2251320808500235,0.30416453030698126,0.3271508233667615
2016Tesla Model S 60D,0.22942831459145913,0.3343385017355378,0.29208920722035153
2016Tesla Model S 60R,0.23288721453450706,0.33859513684904224,0.2957578959547833
2016Tesla Model S 70D,0.25273620942555136,0.3616369781817377,0.3297579144755994
2016Tesla Model S 75D,0.22942831459145913,0.3343385017355378,0.29208920722035153
2016Tesla Model S 75R,0.23288721453450706,0.33859513684904224,0.2957578959547833
2016Tesla Model S 85D,0.26091755693292495,0.37564390595050356,0.33794256308927595
2016Tesla Model S 90D,0.2304131090467091,0.33665956460670676,0.29160915022265455
2016Tesla Model S P100D,0.24045661661414203,0.3479022483672523,0.29841917202588053
2016Tesla Model S P85D,0.2737129691017026,0.39531497862696485,0.3539987677253265
2016Tesla Model S P90D,0.2382894477899436,0.34668712178857436,0.2958898464006333
2016Tesla Model X 60D,0.2464819996091066,0.3427025516446033,0.3379317623708598
2016Tesla Model X 75D,0.2464819996091066,0.3427025516446033,0.3379317623708598
2016Tesla Model X 90D,0.2464819996091066,0.3427025516446033,0.3379317623708598
2016Tesla Model X P100D,0.25736348282842536,0.36161383719274526,0.34289380790623053
2016VOLKSWAGEN e-Golf,0.24269961261286577,0.32986540931788555,0.31162205848132574
2018Ford FOCUS,0.23579010331295452,0.3244949251867689,0.3315238209571494
2018HYUNDAI IONIQ,0.19142170972003789,0.28174632467380994,0.2634481718821976
2018KIA Soul Electric,0.22509604899358426,0.29457761925796166,0.338316394803741
2019BMW I3s,0.22350503518675438,0.3021309359688691,0.31368251328349356
2019CHEVROLET BOLT,0.22380249092226742,0.30570388497184187,0.31729900674551176
2019HYUNDAI IONIQ,0.19142170972003789,0.28174632467380994,0.2634481718821976
2019HYUNDAI Kona Electric,0.19966845362422553,0.28771538943505526,0.29650542749733705
2019Jaguar I-PACE,0.34642103495535403,0.4597335097520944,0.45831961216777817
2019Kia Niro Electric,0.21530571973799706,0.30672130638220174,0.3083436377153229
2019KIA Soul Electric,0.22509604899358426,0.29457761925796166,0.338316394803741
2019NISSAN LEAF,0.227459247659992,0.303569198448952,0.3275206854337674
2019VOLKSWAGEN e-Golf,0.23209157279745835,0.31649033604998805,0.31252873256522673
