t,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1456,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1457,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1458,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1459,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0
1460,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0
1461,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0
1462,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0
1463,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0
1464,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0
1465,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0
1466,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0
1467,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0
1468,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0
1469,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0
1470,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0
1471,3.5,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0
1472,3.5,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0
1473,3.5,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0
1474,3.5,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0
1475,3.5,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0
1476,3.5,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0
1477,3.5,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0
1478,3.5,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0
1479,3.5,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0
1480,3.5,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0
1481,3.5,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0
1482,3.5,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0
1483,3.5,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0
1484,3.5,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0
1485,3.5,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0
1486,3.5,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0
1487,3.5,0,3.5,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,3.5,0
1488,3.5,0,3.5,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,3.5,0
1489,3.5,0,3.5,0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,3.5,0
1490,3.5,0,3.5,0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,3.5,0
1491,3.5,0,3.5,0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,3.5,0
1492,3.5,0,3.5,0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,3.5,0
1493,3.5,0,3.5,3.5,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,3.5,0
1494,3.5,0,3.5,3.5,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,3.5,0
1495,3.5,0,3.5,3.5,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,3.5,0
1496,3.5,0,3.5,3.5,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,3.5,0
1497,3.5,0,3.5,3.5,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,3.5,0
1498,3.5,0,3.5,7.0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,3.5,0
1499,3.5,0,3.5,7.0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,3.5,0
1500,3.5,0,3.5,7.0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,3.5,0
1501,3.5,0,3.5,7.0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,3.5,0
1502,3.5,0,3.5,7.0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,3.5,0
1503,3.5,0,3.5,7.0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,3.5,0
1504,3.5,0,3.5,7.0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,3.5,0
1505,3.5,0,3.5,7.0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,3.5,0
1506,3.5,0,3.5,7.0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,3.5,0
1507,3.5,0,3.5,7.0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,3.5,0
1508,3.5,0,3.5,7.0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,3.5,0
1509,3.5,0,3.5,7.0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,3.5,0
1510,3.5,0,3.5,7.0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,3.5,0
1511,3.5,0,3.5,7.0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,3.5,0
1512,3.5,0,3.5,7.0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,3.5,0
1513,3.5,0,3.5,7.0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,3.5,0
1514,3.5,0,3.5,7.0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,3.5,0
1515,3.5,0,3.5,7.0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,3.5,0
1516,3.5,0,3.5,7.0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,3.5,0
1517,3.5,0,3.5,7.0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,3.5,0
1518,3.5,0,3.5,7.0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,3.5,0
1519,3.5,0,3.5,7.0,0,0,3.5,0,0,0,0,0,0,0,7.0,0,0,0,3.5,0
1520,3.5,0,3.5,7.0,0,0,3.5,0,0,0,0,0,0,0,7.0,0,0,0,3.5,0
1521,3.5,0,3.5,7.0,0,0,3.5,0,0,0,0,0,0,0,7.0,0,0,0,3.5,0
1522,3.5,0,3.5,7.0,0,0,3.5,0,0,0,0,0,0,0,7.0,0,0,0,3.5,0
1523,3.5,0,3.5,7.0,0,0,3.5,0,0,0,0,0,0,0,7.0,0,0,0,3.5,0
1524,3.5,0,7.0,7.0,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
1525,3.5,0,7.0,7.0,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
1526,3.5,0,7.0,7.0,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
1527,3.5,0,7.0,7.0,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
1528,7.0,0,7.0,7.0,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
1529,7.0,0,7.0,7.0,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
1530,7.0,0,7.0,10.5,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
1531,7.0,0,7.0,10.5,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
1532,7.0,0,7.0,10.5,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
1533,7.0,0,7.0,10.5,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
1534,7.0,0,7.0,10.5,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
1535,7.0,0,7.0,10.5,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
1536,7.0,0,7.0,10.5,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
1537,7.0,0,7.0,10.5,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
