t,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
1440,7.0,7.0,7.0,14.0,17.5,17.5,14.0,3.5,0,17.5,14.0,7.0,3.5,14.0,10.5,14.0,3.5,3.5,7.0,21.0,3.5,3.5,7.0,7.0,7.0,7.0,24.5,10.5,0,3.5,7.0,7.0,0,7.0,10.5,7.0,14.0,10.5,14.0,14.0
1441,7.0,7.0,7.0,14.0,17.5,17.5,14.0,3.5,0,17.5,14.0,7.0,3.5,14.0,10.5,14.0,3.5,3.5,7.0,21.0,3.5,3.5,7.0,7.0,7.0,7.0,24.5,10.5,0,3.5,7.0,7.0,0,7.0,10.5,7.0,14.0,10.5,14.0,14.0
1442,7.0,7.0,7.0,14.0,17.5,17.5,14.0,3.5,0,17.5,14.0,7.0,3.5,14.0,10.5,14.0,3.5,3.5,7.0,21.0,3.5,3.5,7.0,7.0,7.0,7.0,24.5,10.5,0,3.5,7.0,7.0,0,7.0,10.5,7.0,14.0,10.5,14.0,14.0
1443,7.0,7.0,7.0,14.0,17.5,17.5,14.0,3.5,0,17.5,14.0,7.0,3.5,14.0,10.5,14.0,3.5,3.5,7.0,21.0,3.5,3.5,7.0,7.0,7.0,7.0,24.5,10.5,0,3.5,7.0,7.0,0,7.0,10.5,7.0,14.0,10.5,14.0,14.0
1444,7.0,7.0,7.0,14.0,17.5,17.5,14.0,3.5,0,17.5,14.0,7.0,3.5,14.0,10.5,14.0,3.5,3.5,7.0,21.0,3.5,3.5,7.0,7.0,7.0,7.0,24.5,10.5,0,3.5,7.0,7.0,0,7.0,10.5,7.0,14.0,10.5,14.0,14.0
1445,7.0,7.0,7.0,14.0,17.5,17.5,14.0,3.5,0,17.5,14.0,7.0,3.5,14.0,10.5,14.0,3.5,3.5,7.0,21.0,3.5,3.5,7.0,7.0,7.0,7.0,24.5,10.5,0,3.5,7.0,7.0,0,7.0,10.5,7.0,14.0,10.5,14.0,14.0
1446,10.5,7.0,7.0,14.0,17.5,17.5,14.0,3.5,0,17.5,14.0,7.0,3.5,14.0,10.5,14.0,3.5,3.5,7.0,21.0,3.5,3.5,7.0,7.0,7.0,7.0,24.5,10.5,0,3.5,7.0,7.0,0,7.0,10.5,7.0,14.0,10.5,14.0,14.0
1447,10.5,7.0,7.0,14.0,17.5,17.5,14.0,3.5,0,17.5,14.0,7.0,3.5,14.0,10.5,14.0,3.5,3.5,7.0,21.0,3.5,3.5,7.0,7.0,7.0,7.0,24.5,10.5,0,3.5,7.0,7.0,0,7.0,10.5,7.0,14.0,10.5,14.0,14.0
1448,10.5,7.0,7.0,14.0,17.5,17.5,14.0,3.5,0,17.5,14.0,7.0,3.5,14.0,10.5,14.0,3.5,3.5,7.0,21.0,3.5,3.5,7.0,7.0,7.0,7.0,24.5,10.5,0,3.5,7.0,7.0,0,7.0,10.5,7.0,14.0,10.5,14.0,14.0
1449,10.5,7.0,7.0,14.0,17.5,17.5,14.0,3.5,0,17.5,14.0,7.0,3.5,14.0,10.5,14.0,3.5,3.5,7.0,21.0,3.5,3.5,7.0,7.0,7.0,7.0,24.5,10.5,0,3.5,7.0,7.0,0,7.0,10.5,7.0,14.0,10.5,14.0,14.0
1450,10.5,7.0,7.0,14.0,17.5,21.0,14.0,3.5,0,17.5,14.0,10.5,3.5,14.0,10.5,14.0,3.5,3.5,7.0,21.0,3.5,3.5,7.0,7.0,7.0,7.0,24.5,10.5,0,3.5,7.0,7.0,0,7.0,10.5,7.0,14.0,10.5,14.0,14.0
1451,10.5,7.0,7.0,14.0,17.5,21.0,14.0,3.5,0,17.5,14.0,10.5,3.5,14.0,10.5,14.0,3.5,3.5,7.0,21.0,3.5,3.5,7.0,7.0,7.0,7.0,24.5,10.5,0,3.5,7.0,7.0,0,7.0,10.5,7.0,14.0,10.5,14.0,14.0
1452,10.5,7.0,7.0,14.0,17.5,21.0,14.0,0,0,17.5,14.0,10.5,3.5,14.0,10.5,14.0,3.5,3.5,7.0,21.0,3.5,3.5,7.0,7.0,7.0,7.0,21.0,10.5,0,3.5,7.0,7.0,0,7.0,10.5,7.0,14.0,10.5,10.5,14.0
1453,10.5,7.0,7.0,14.0,17.5,21.0,14.0,0,0,17.5,14.0,10.5,3.5,14.0,10.5,14.0,3.5,3.5,7.0,21.0,3.5,3.5,7.0,7.0,7.0,7.0,21.0,10.5,0,3.5,7.0,7.0,0,7.0,10.5,7.0,14.0,10.5,10.5,14.0
1454,10.5,7.0,7.0,14.0,17.5,21.0,14.0,0,0,17.5,14.0,10.5,3.5,14.0,10.5,14.0,3.5,3.5,7.0,21.0,3.5,3.5,7.0,7.0,7.0,7.0,21.0,10.5,0,3.5,7.0,7.0,0,7.0,10.5,7.0,14.0,10.5,10.5,14.0
1455,10.5,7.0,7.0,14.0,17.5,21.0,14.0,0,0,17.5,14.0,10.5,3.5,14.0,10.5,14.0,3.5,3.5,7.0,21.0,3.5,3.5,7.0,7.0,7.0,7.0,21.0,10.5,0,3.5,7.0,7.0,0,7.0,10.5,7.0,14.0,10.5,10.5,14.0
1456,10.5,7.0,7.0,14.0,17.5,21.0,14.0,0,0,17.5,14.0,10.5,3.5,14.0,10.5,14.0,3.5,3.5,7.0,21.0,3.5,3.5,7.0,7.0,7.0,7.0,21.0,10.5,0,3.5,7.0,7.0,0,7.0,10.5,7.0,14.0,10.5,10.5,14.0
1457,10.5,7.0,7.0,14.0,14.0,21.0,14.0,0,0,17.5,14.0,10.5,3.5,14.0,10.5,14.0,3.5,3.5,7.0,21.0,3.5,3.5,7.0,7.0,7.0,7.0,21.0,10.5,0,3.5,7.0,7.0,0,7.0,10.5,7.0,14.0,10.5,10.5,14.0
1458,10.5,7.0,7.0,14.0,14.0,21.0,14.0,0,0,17.5,14.0,10.5,3.5,14.0,10.5,14.0,3.5,3.5,7.0,21.0,3.5,3.5,7.0,7.0,7.0,7.0,21.0,10.5,0,3.5,7.0,7.0,0,7.0,10.5,7.0,14.0,10.5,10.5,14.0
1459,10.5,7.0,7.0,14.0,14.0,21.0,14.0,0,0,17.5,14.0,10.5,3.5,14.0,10.5,14.0,3.5,3.5,7.0,21.0,3.5,3.5,7.0,7.0,7.0,7.0,21.0,10.5,0,3.5,7.0,7.0,0,7.0,10.5,7.0,14.0,10.5,10.5,14.0
1460,10.5,7.0,7.0,14.0,14.0,21.0,14.0,0,0,14.0,14.0,10.5,3.5,14.0,10.5,14.0,3.5,3.5,7.0,21.0,3.5,3.5,7.0,7.0,7.0,7.0,21.0,10.5,0,3.5,7.0,7.0,0,7.0,10.5,7.0,14.0,10.5,10.5,17.5
1461,10.5,7.0,7.0,14.0,14.0,21.0,14.0,0,0,14.0,14.0,10.5,3.5,14.0,10.5,14.0,3.5,3.5,7.0,21.0,3.5,3.5,7.0,7.0,7.0,7.0,21.0,10.5,0,3.5,7.0,7.0,0,7.0,10.5,7.0,14.0,10.5,10.5,17.5
1462,10.5,7.0,7.0,14.0,14.0,21.0,14.0,0,0,14.0,14.0,10.5,3.5,14.0,10.5,14.0,3.5,3.5,7.0,21.0,3.5,3.5,7.0,7.0,7.0,7.0,21.0,10.5,0,3.5,7.0,7.0,0,7.0,10.5,7.0,14.0,10.5,10.5,17.5
1463,10.5,7.0,7.0,14.0,14.0,21.0,14.0,0,0,14.0,14.0,10.5,3.5,14.0,10.5,14.0,3.5,3.5,7.0,21.0,3.5,3.5,7.0,7.0,7.0,7.0,21.0,10.5,0,3.5,7.0,7.0,0,7.0,10.5,7.0,14.0,10.5,10.5,17.5
1464,10.5,7.0,7.0,14.0,14.0,21.0,14.0,0,0,14.0,14.0,10.5,3.5,14.0,10.5,14.0,3.5,3.5,7.0,21.0,3.5,3.5,7.0,7.0,7.0,7.0,21.0,10.5,0,3.5,7.0,7.0,0,7.0,10.5,7.0,14.0,10.5,10.5,17.5
1465,10.5,7.0,7.0,14.0,14.0,21.0,14.0,0,0,14.0,14.0,10.5,3.5,14.0,10.5,14.0,3.5,3.5,7.0,21.0,3.5,3.5,7.0,7.0,7.0,7.0,21.0,10.5,0,3.5,7.0,7.0,0,7.0,10.5,7.0,14.0,10.5,10.5,17.5
