n,name,code,lat,lon
1,"""Abham""","""ABHA""",50.47108,-3.7297
2,"""Abernethy""","""ABNE""",56.33949,-3.2940
3,"""Aberthaw""","""ABTH""",51.38785,-3.4019
4,"""Aldwarke""","""ALDW""",53.44523,-1.3190
5,"""Alness""","""ALNE""",57.70741,-4.275
6,"""Alverdiscott""","""ALVE""",51.00538,-4.1353
7,"""Amersham""","""AMEM""",51.66466,-0.6547
8,"""Arbroath""","""ARBR""",56.56393,-2.6166
9,"""Ardmore""","""ARMO""",57.554486,-6.64503
10,"""Axminster""","""AXMI""",50.78594,-2.9233
11,"""Ayr""","""AYRR""",55.45746,-4.5879
12,"""Bathgate""","""BAGA""",55.89992,-3.6730
13,"""Bainsford""","""BAIN""",56.01379,-3.7684
14,"""Beauly""","""BEAU""",57.46882,-4.4909
15,"""Beddington""","""BED1""",51.37408,-0.1261
16,"""Berwick""","""BERW""",55.77749,-2.0790
17,"""Berkswell""","""BESW""",52.38546,-1.6140
18,"""Bicker Fen""","""BICF""",52.93046,-0.2195
19,"""Birkenhead""","""BIRK""",53.36549,-3.0613
20,"""Bishops Wood""","""BISW""",52.31172,-2.2402
21,"""Blyth""","""BLY1""",55.14106,-1.5310
22,"""Boat of Garten""","""BOAG""",57.25332,-3.7320
23,"""Bolney""","""BOLN""",50.97466,-0.233
24,"""Bonnybridge""","""BONN""",56.00791,-3.8619
25,"""Botley Wood""","""BOTW""",50.88393,-1.2305
26,"""BP Grangemouth""","""BPGR""",56.004431,-3.69387
27,"""Braco""","""BRAC""",56.2763,-3.8782
28,"""Braintree""","""BRAI""",51.86442,0.5780
29,"""Braehead Park""","""BRAP""",55.8807,-4.3805
30,"""Bradford West""","""BRAW""",53.81028,-1.8638
31,"""Bredbury""","""BRED""",53.41428,-2.1274
32,"""Bramford""","""BRFO""",52.07083,1.0639
33,"""Bridge of Dun""","""BRID""",56.72143,-2.5571
34,"""Brimsdown""","""BRIM""",51.66398,-0.021
35,"""Barking""","""BARK""",51.52017,0.11329
36,"""Bramley""","""BRLE""",51.33557,-1.0758
37,"""Broadford""","""BROA""",57.24859,-5.9337
38,"""Brora""","""BROR""",58.02032,-3.8756
39,"""Broxburn""","""BROX""",55.91953,-3.4534
40,"""Bridgwater""","""BRWA""",51.1168,-2.967
41,"""Burghmuir""","""BUMU""",56.39663,-3.4871
42,"""Burwell""","""BURW""",52.28034,0.315
43,"""Bushbury""","""BUSH""",52.63662,-2.1143
44,"""Bustleholm""","""BUST""",52.5529,-1.9594
45,"""Carradale""","""CAAD""",55.59091,-5.5024
46,"""Camblesforth""","""CAML""",53.729427,-1.00094
47,"""Canterbury""","""CANT""",51.29322,1.0982
48,"""Capenhurst""","""CAPE""",53.2685,-2.9478
49,"""Carrington""","""CARR""",53.43601,-2.4057
50,"""Cardiff East""","""CARE""",51.49432,-3.1441
51,"""Cassley""","""CASS""",58.18731,-4.7282
52,"""Carntyne""","""CATY""",55.85784,-4.1972
53,"""Ceannacroc""","""CEAN""",57.154185,-4.93711
54,"""Cellarhead""","""CELL""",53.04058,-2.0811
55,"""Chapelcross""","""CHAP""",55.01653,-3.2293
56,"""Charleston""","""CHAR""",56.47393,-3.0437
57,"""Charlotte Street""","""CHAS""",55.85519,-4.2398
58,"""Chickerell""","""CHIC""",50.62406,-2.4852
59,"""Chessington""","""CHSI""",51.34358,-0.3211
60,"""Chesterfield""","""CHTE""",53.22425,-1.3873
61,"""City Road""","""CITR""",51.52967,-0.0941
62,"""Clachan""","""CLAC""",56.27669,-4.9234
63,"""Clayhills""","""CLAY""",57.14036,-2.0991
64,"""Clyde's Mill""","""CLYM""",55.82502,-4.1530
65,"""Coatbridge""","""COAT""",55.8516,-4.0140
66,"""Cockenzie""","""COCK""",55.96733,-2.967
67,"""Connah's Quay""","""CON1""",53.22755,-3.0726
68,"""Corridor (Tod Point)""","""CORR""",54.606477,-1.11669
69,"""Coupar Angus""","""COUA""",56.53827,-3.2731
70,"""Coventry""","""COVE""",52.45608,-1.4622
71,"""Cowley""","""COWL""",51.71105,-1.1890
72,"""Coylton""","""COYL""",55.44719,-4.4307
73,"""Craigiebuckler""","""CRAI""",57.13132,-2.1536
74,"""Crookston""","""CROO""",55.82121,-4.3653
75,"""Creyke Beck""","""CRSE""",53.80048,-0.4156
76,"""Culham Jet""","""CULJ""",51.6607,-1.2268
77,"""Cumbernauld""","""CUMB""",55.94687,-3.9641
78,"""Cupar""","""CUPA""",56.31469,-3.0349
79,"""Currie""","""CURR""",55.90112,-3.3090
80,"""Deeside""","""DEES""",53.23034,-3.0761
81,"""Devol Moor (Port Galsgow)""","""DEVM""",55.91631,-4.7101
82,"""Devonside""","""DEVO""",56.13696,-3.7
83,"""Dewar Place""","""DEWP""",55.94704,-3.210
84,"""Dounreay""","""DOUN""",58.5763,-3.7556
85,"""Drakelow""","""DRAK""",52.77345,-1.6515
86,"""Drax""","""DRAX""",53.73598,-0.990
87,"""Drumcross""","""DRCR""",55.90659,-3.5872
88,"""Drumchapel""","""DRUM""",55.91525,-4.3492
89,"""Dunbeath""","""DUBE""",58.2659,-3.4351
90,"""Dudhope""","""DUDH""",56.46279,-2.9769
91,"""Dunvegan""","""DUGR""",57.432716,-6.53962
92,"""Dumfries""","""DUMF""",55.06763,-3.591
93,"""Dunbar""","""DUNB""",55.97735,-2.573
94,"""Dunfermline""","""DUNF""",56.08958,-3.4492
95,"""Dunoon""","""DUNO""",55.97589,-4.9471
96,"""Dyce""","""DYCE""",57.21571,-2.1903
97,"""Ealing""","""EALI""",51.50134,-0.2945
98,"""Eaton Socon""","""EASO""",52.21422,-0.3000
99,"""Eccles""","""ECCL""",55.66835,-2.3274
100,"""East Claydon""","""ECLA""",51.92579,-0.9056
101,"""Easterhouse""","""EERH""",55.87962,-4.0754
102,"""East Kilbride""","""EKIL""",55.78534,-4.193
103,"""East Kilbride South""","""EKIS""",55.74056,-4.1632
104,"""Elderslie""","""ELDE""",55.84061,-4.464
105,"""Elgin""","""ELGI""",57.66528,-3.3208
106,"""Elland""","""ELLA""",53.69365,-1.8222
107,"""Elstree""","""ELST""",51.661,-0.3437
108,"""Enderby""","""ENDE""",52.59726,-1.2154
109,"""Erskine""","""ERSK""",55.90378,-4.4603
110,"""Exeter""","""EXET""",50.76702,-3.4039
111,"""Fasnakyle""","""FASN""",57.32867,-4.7888
112,"""Fort Augustus""","""FAUG""",57.13696,-4.7198
113,"""Fawley""","""FAWL""",50.82116,-1.3271
