time,low,medium,high
0,21.7934,23.5313,25.0296
10,21.7226,23.4807,24.9426
20,21.7258,23.6257,25.129
30,21.6806,23.6711,25.1524
40,21.632,23.627,25.1184
50,21.6448,23.6209,25.1016
60,21.656,23.5587,25.0626
70,21.5824,23.5107,25.0248
80,21.6208,23.6264,25.13
90,21.5986,23.6812,25.1582
100,21.6176,23.6707,25.143
110,21.633,23.6339,25.1388
120,21.617,23.5745,25.084
130,21.5394,23.5326,24.9994
140,21.5542,23.5058,24.955
150,21.499,23.4672,24.881
160,21.4038,23.4081,24.8656
170,21.39,23.3582,24.8238
180,21.3792,23.3009,24.7696
190,21.304,23.2394,24.705
200,21.2988,23.2428,24.7142
210,21.2678,23.1999,24.6558
220,21.2062,23.1284,24.6068
230,21.163,23.0698,24.5692
240,21.1282,23.0119,24.5186
250,21.1138,22.9928,24.4986
260,21.1974,23.0627,24.559
270,21.1782,23.0439,24.5436
280,21.1434,23.0039,24.5184
290,21.099,22.9702,24.4968
300,21.0934,22.9453,24.4638
310,21.1376,22.9542,24.446
320,21.1594,23.0124,24.458
330,21.188,23.0028,24.458
340,21.1418,22.9758,24.4308
350,21.0944,22.9899,24.4284
360,21.1114,23.0115,24.392
370,21.1756,23.0227,24.3608
380,21.2396,23.0622,24.3788
390,21.3138,23.0636,24.419
400,21.2954,23.0442,24.435
410,21.3084,23.0435,24.4578
420,21.327,23.0374,24.4494
430,21.3378,23.0225,24.4658
440,21.373,23.0405,24.5498
450,21.4072,23.0864,24.5598
460,21.432,23.1702,24.5876
470,21.486,23.2363,24.6422
480,21.5288,23.3089,24.716
490,21.5502,23.395,24.7206
500,21.6732,23.4328,24.7176
510,21.8346,23.4501,24.7972
520,21.9278,23.4816,24.92
530,22.0186,23.5865,25.1544
540,22.1414,23.6706,25.2862
550,22.2554,23.797,25.461
560,22.466,24.0265,25.6964
570,22.5938,24.2265,25.8888
580,22.7522,24.3631,25.9724
590,22.9174,24.5096,26.062
600,23.0234,24.6914,26.251
610,23.2382,24.9017,26.471
620,23.831,25.4352,26.9584
630,24.4546,26.1576,27.543
640,24.6384,26.6114,28.0478
650,24.8948,27.0438,28.525
660,25.1656,27.4457,28.918
670,25.4168,27.8237,29.3434
680,25.852,28.2584,29.8462
690,26.348,28.7694,30.4588
700,26.727,29.2291,30.9846
710,27.121,29.6629,31.4604
720,27.605,30.2029,31.9582
730,28.025,30.751,32.406
740,28.7086,31.4696,33.0334
750,29.77,32.3782,33.976
760,30.193,32.9889,34.6546
770,30.5918,33.4687,35.1184
780,30.9744,33.8251,35.529
790,31.201,34.1266,35.8582
800,31.5324,34.4323,36.1988
810,31.9248,34.7789,36.6146
820,32.195,35.0497,36.9048
830,32.447,35.2184,37.1454
840,32.6894,35.4021,37.3642
850,32.9076,35.5991,37.5716
860,33.1572,35.8721,37.7688
870,33.462,36.1528,38.0764
880,33.6608,36.3063,38.233
890,33.8106,36.3786,38.3346
900,33.848,36.3746,38.4092
910,33.8978,36.373,38.4084
920,33.844,36.3516,38.354
930,33.8338,36.367,38.3468
940,33.8518,36.3633,38.3526
950,33.8556,36.3638,38.413
960,33.895,36.4321,38.537
970,33.9458,36.5535,38.6606
980,34.0264,36.7433,38.8602
990,34.0492,36.9159,39.0708
1000,34.122,36.9857,39.211
1010,34.2262,37.0558,39.3204
1020,34.3006,37.0951,39.43
1030,34.2874,37.1243,39.5194
1040,34.301,37.1277,39.5822
1050,34.296,37.1321,39.6596
1060,34.2362,37.1387,39.6994
1070,34.179,37.0727,39.7254
1080,34.1976,37.0661,39.739
1090,34.1906,37.0768,39.7472
1100,34.1994,37.0812,39.7662
1110,34.1284,37.0344,39.7568
1120,34.0488,36.9711,39.7112
1130,34.0172,36.9577,39.7162
1140,33.7044,36.8271,39.7636
1150,33.9562,36.9901,39.8496
1160,33.995,36.9987,39.9176
1170,33.9674,37.006,39.9144
1180,33.9456,36.9814,39.9378
1190,33.9254,36.9885,39.986
1200,33.905,36.9776,39.9914
1210,33.8546,36.953,39.9894
1220,33.8534,36.9787,40.026
1230,33.8104,37.0029,40.0476
1240,33.7888,36.9711,40.0332
1250,33.7546,36.9746,40.0448
1260,33.7456,36.9646,40.0764
1270,33.7136,36.9578,40.0636
1280,33.6716,36.9834,40.0956
1290,33.6548,36.97,40.128
1300,33.65,36.9536,40.1378
1310,33.6586,36.956,40.2002
1320,33.6602,36.9802,40.213
1330,33.6574,36.9904,40.2122
1340,33.715,37.0487,40.2578
1350,33.7618,37.0507,40.3056
1360,33.75,37.0384,40.3016
1370,33.7342,37.04,40.3124
1380,33.6822,36.9695,40.3038
1390,33.6562,36.9792,40.2554
1400,33.5416,36.9184,40.2506
1410,33.4366,36.8884,40.2254
1420,33.325,36.8124,40.16
1430,33.2954,36.7736,40.0612
1440,33.2528,36.7311,40.0582
1450,33.2642,36.679,40.0104
1460,33.306,36.7125,39.996
1470,33.2142,36.6947,39.9966
1480,33.1918,36.6243,39.954
1490,33.0718,36.5553,39.9162
1500,32.9876,36.4824,39.8396
1510,32.922,36.4292,39.756
1520,32.9316,36.4324,39.7744
1530,32.9246,36.4114,39.7868
1540,32.8734,36.3737,39.6892
1550,32.8108,36.3224,39.6096
1560,32.753,36.2695,39.525
1570,32.7642,36.2369,39.4548
1580,32.8118,36.273,39.4654
1590,32.8192,36.2813,39.4654
1600,32.8022,36.2914,39.4532
1610,32.754,36.2752,39.4592
1620,32.7334,36.2262,39.3892
1630,32.7488,36.2124,39.3452
1640,32.7726,36.1898,39.32
1650,32.7474,36.1466,39.1986
1660,32.6818,36.1082,39.1518
1670,32.6512,36.1143,39.1194
1680,32.6492,36.0616,39.0628
1690,32.7022,36.046,39.0096
1700,32.7442,36.0768,38.9888
1710,32.6684,36.0431,38.9578
1720,32.6762,36.0059,38.9342
1730,32.6878,36.0289,38.9146
1740,32.7572,36.0533,38.8714
1750,32.8726,36.0983,38.961
1760,32.9988,36.1993,39.0644
1770,33.1508,36.3447,39.1878
1780,33.274,36.4747,39.3292
1790,33.4814,36.6389,39.4546
1800,33.6678,36.8106,39.5676
1810,33.8514,36.9382,39.6892
1820,34.019,37.0487,39.8058
1830,34.164,37.1657,39.9354
1840,34.3224,37.3005,40.0186
1850,34.5094,37.4235,40.178
1860,34.6978,37.5413,40.2486
1870,34.8984,37.6953,40.3936
1880,35.0476,37.8679,40.5558
1890,35.2196,38.0375,40.6194
1900,35.3748,38.1721,40.7096
1910,35.542,38.3592,40.848
1920,35.6732,38.4556,40.9182
1930,35.8322,38.8191,41.4148
1940,35.9664,38.8979,41.448
1950,36.0564,38.874,40.9272
1960,36.1452,38.9195,41.4538
1970,36.2638,38.9686,41.4756
1980,36.3878,39.0884,41.5448
1990,36.4684,39.1319,41.544
2000,36.5396,39.089,41.5246
2010,36.499,39.0228,41.4058
2020,36.5078,38.9795,41.346
2030,36.5466,38.9845,41.388
2040,36.4786,38.9187,41.277
2050,36.503,38.9438,41.3282
2060,36.5722,39.068,41.4058
2070,36.541,39.0452,41.3018
2080,36.4878,38.9694,41.23
2090,36.4766,38.9379,41.1948
2100,36.451,38.8761,41.1674
2110,36.4972,38.8406,41.2186
2120,36.5614,38.9082,41.3854
2130,36.5696,38.9328,41.4612
2140,36.5072,38.9205,41.572
2150,36.515,38.9449,41.6928
2160,36.4594,38.9224,41.7908
2170,36.4554,38.8294,41.5398
2180,36.4804,38.9362,41.814
2190,36.4302,38.951,41.9426
2200,36.4236,39.0507,42.246
2210,36.3964,39.132,42.2848
2220,36.2834,39.1062,42.2654
2230,36.356,39.2362,42.3874
2240,36.504,39.4902,42.541
2250,36.4748,39.4661,42.3326
2260,36.5322,39.4651,42.2076
2270,36.6868,39.5369,42.2292
2280,36.6754,39.4067,41.932
2290,36.7742,39.3278,41.7778
2300,37.093,39.5933,41.9904
2310,37.0148,39.4635,41.6566
2320,36.8094,39.348,41.2674
2330,36.6712,39.2376,40.8964
2340,36.4012,39.0383,40.5412
2350,36.1358,38.8317,40.302
2360,36.1238,38.7837,40.2316
2370,35.936,38.5306,39.9314
2380,35.7924,38.3962,39.697
2390,35.5574,38.0844,39.4294
2400,35.2854,37.7649,39.1768
2410,35.1778,37.7112,39.137
2420,35.0518,37.6478,38.9836
2430,34.6438,37.2044,38.6094
2440,34.3796,36.8364,38.325
2450,34.1498,36.6022,38.014
2460,33.7556,36.2074,37.7212
2470,33.4354,35.8495,37.4916
2480,33.0798,35.5341,37.2764
2490,32.7454,35.2035,36.9714
2500,32.4614,34.8092,36.74
2510,32.0996,34.5421,36.537
2520,31.7832,34.1361,36.2168
2530,31.425,33.7545,35.9404
2540,31.2294,33.6558,35.941
2550,30.8584,33.2102,35.6074
2560,30.5076,32.7593,35.2288
2570,30.1272,32.362,34.9134
2580,29.7528,31.9862,34.5944
2590,29.3946,31.58,34.2762
2600,29.058,31.2426,33.9996
2610,28.7098,30.8044,33.6646
2620,28.2602,30.3991,33.3534
2630,27.8228,29.9889,33.0222
2640,27.4702,29.5869,32.683
2650,27.0626,29.2208,32.3942
2660,26.7166,28.9697,32.1718
2670,26.404,28.6335,32.006
2680,26.14,28.3082,31.7984
2690,25.9038,28.0289,31.5954
2700,25.6992,27.8054,31.3314
2710,25.383,27.5191,31.1166
2720,25.1638,27.3147,31.0052
2730,24.8908,27.0468,30.8042
2740,24.761,26.8553,30.6442
2750,24.5942,26.6797,30.49
2760,24.418,26.4311,30.2648
2770,24.2134,26.3028,30.137
2780,24.1538,26.2459,30.0642
2790,24.0472,26.1204,29.9904
2800,23.9356,26.0176,29.936
2810,23.8538,25.9262,29.8282
2820,23.7828,25.7919,29.6802
2830,23.6638,25.6857,29.5796
2840,23.6484,25.6437,29.5648
2850,23.58,25.553,29.5056
2860,23.4992,25.4491,29.4272
2870,23.4002,25.3382,29.3528
