region,day,month,number
Urban City and Town,Monday,January,1.025167544127698
Urban City and Town,Tuesday,January,1.0924091425452358
Urban City and Town,Wednesday,January,1.0523843815824157
Urban City and Town,Thursday,January,1.0523843815824157
Urban City and Town,Friday,January,1.121226970438466
Urban City and Town,Saturday,January,0.9061605881982464
Urban City and Town,Sunday,January,0.7044357929456332
Urban City and Town,Monday,February,1.0156568985465326
Urban City and Town,Tuesday,February,1.0540616096608577
Urban City and Town,Wednesday,February,1.1137366223154241
Urban City and Town,Thursday,February,1.109600730349266
Urban City and Town,Friday,February,1.1509596500108468
Urban City and Town,Saturday,February,1.0085667980331188
Urban City and Town,Sunday,February,0.7657308554486948
Urban City and Town,Monday,March,1.1436408365776454
Urban City and Town,Tuesday,March,1.1890022323355083
Urban City and Town,Wednesday,March,1.1393715287416113
Urban City and Town,Thursday,March,1.1868675784174911
Urban City and Town,Friday,March,1.2231566950237813
Urban City and Town,Saturday,March,0.96913287877975
Urban City and Town,Sunday,March,0.7716773913631709
Urban City and Town,Monday,April,1.0378331573745994
Urban City and Town,Tuesday,April,1.1299256851543857
Urban City and Town,Wednesday,April,1.1415061826596284
Urban City and Town,Thursday,April,1.1448148962325548
Urban City and Town,Friday,April,1.1497779665919445
Urban City and Town,Saturday,April,1.0951841926386578
Urban City and Town,Sunday,April,0.840964699785475
Urban City and Town,Monday,May,1.0780002285986205
Urban City and Town,Tuesday,May,1.1516457887702094
Urban City and Town,Wednesday,May,1.162852721839799
Urban City and Town,Thursday,May,1.1174913260819364
Urban City and Town,Friday,May,1.1601844044422778
Urban City and Town,Saturday,May,1.0198309093326554
Urban City and Town,Sunday,May,0.7994278922973929
Urban City and Town,Monday,June,1.067060127268783
Urban City and Town,Tuesday,June,1.153086680164871
Urban City and Town,Wednesday,June,1.1404032781353195
Urban City and Town,Thursday,June,1.1723875093402754
Urban City and Town,Friday,June,1.1779020319618194
Urban City and Town,Saturday,June,1.0626485091715479
Urban City and Town,Sunday,June,0.8674344083688866
Urban City and Town,Monday,July,1.063057651172501
Urban City and Town,Tuesday,July,1.103082412135321
Urban City and Town,Wednesday,July,1.1238952878359876
Urban City and Town,Thursday,July,1.1217606339179704
Urban City and Town,Friday,July,1.1495111348521925
Urban City and Town,Saturday,July,1.0422447754718347
Urban City and Town,Sunday,July,0.8266447297521105
Urban City and Town,Monday,August,0.9082952421162634
Urban City and Town,Tuesday,August,0.9568586187511517
Urban City and Town,Wednesday,August,0.9611279265871859
Urban City and Town,Thursday,August,0.9525893109151177
Urban City and Town,Friday,August,1.0102249667015786
Urban City and Town,Saturday,August,1.065192305090518
Urban City and Town,Sunday,August,0.8458566150142641
Urban City and Town,Monday,September,1.088566765492805
Urban City and Town,Tuesday,September,1.0995958107358932
Urban City and Town,Wednesday,September,1.1580497505242606
Urban City and Town,Thursday,September,1.13047713741654
Urban City and Town,Friday,September,1.198857217923687
Urban City and Town,Saturday,September,0.9865480969942392
Urban City and Town,Sunday,September,0.7869223780943428
Urban City and Town,Monday,October,1.0577210163774584
Urban City and Town,Tuesday,October,1.079067555557629
Urban City and Town,Wednesday,October,1.0956111234222614
Urban City and Town,Thursday,October,1.1975408480075764
Urban City and Town,Friday,October,1.1938052036510465
Urban City and Town,Saturday,October,1.0219655632506723
Urban City and Town,Sunday,October,0.7807496705147434
Urban City and Town,Monday,November,1.1271684238436137
Urban City and Town,Tuesday,November,1.1972028611372239
Urban City and Town,Wednesday,November,1.1591526550485696
Urban City and Town,Thursday,November,1.204371740545231
Urban City and Town,Friday,November,1.2142978812640104
Urban City and Town,Saturday,November,0.9953713331887097
Urban City and Town,Sunday,November,0.7896796394051149
Urban City and Town,Monday,December,0.9376467334889982
Urban City and Town,Tuesday,December,1.007556649304057
Urban City and Town,Wednesday,December,1.011292293660587
Urban City and Town,Thursday,December,1.041177448512826
Urban City and Town,Friday,December,1.0144942745376127
Urban City and Town,Saturday,December,0.9349784160914768
Urban City and Town,Sunday,December,0.719912033851257
"Rural Village, Hamlet and Isolated Dwelling",Monday,January,0.9306789146161795
"Rural Village, Hamlet and Isolated Dwelling",Tuesday,January,1.0765691228533103
"Rural Village, Hamlet and Isolated Dwelling",Wednesday,January,1.0815998196890735
"Rural Village, Hamlet and Isolated Dwelling",Thursday,January,1.0690230775996656
"Rural Village, Hamlet and Isolated Dwelling",Friday,January,0.9734398377201662
"Rural Village, Hamlet and Isolated Dwelling",Saturday,January,0.9080407788552454
"Rural Village, Hamlet and Isolated Dwelling",Sunday,January,0.7898194032148118
"Rural Village, Hamlet and Isolated Dwelling",Monday,February,0.9997611622358556
"Rural Village, Hamlet and Isolated Dwelling",Tuesday,February,1.058243012951602
"Rural Village, Hamlet and Isolated Dwelling",Wednesday,February,1.0109005623721883
"Rural Village, Hamlet and Isolated Dwelling",Thursday,February,1.1974855146557604
"Rural Village, Hamlet and Isolated Dwelling",Friday,February,1.161282464212679
"Rural Village, Hamlet and Isolated Dwelling",Saturday,February,1.0359642126789368
"Rural Village, Hamlet and Isolated Dwelling",Sunday,February,0.8243156100886164
"Rural Village, Hamlet and Isolated Dwelling",Monday,March,1.0237468060777974
"Rural Village, Hamlet and Isolated Dwelling",Tuesday,March,1.1344221364645863
"Rural Village, Hamlet and Isolated Dwelling",Wednesday,March,1.141968181718231
"Rural Village, Hamlet and Isolated Dwelling",Thursday,March,1.1218453943751785
"Rural Village, Hamlet and Isolated Dwelling",Friday,March,1.2249746795083227
"Rural Village, Hamlet and Isolated Dwelling",Saturday,March,1.0111700639883896
"Rural Village, Hamlet and Isolated Dwelling",Sunday,March,0.8049114937221012
"Rural Village, Hamlet and Isolated Dwelling",Monday,April,1.0396773460577142
"Rural Village, Hamlet and Isolated Dwelling",Tuesday,April,1.0708676664394456
"Rural Village, Hamlet and Isolated Dwelling",Wednesday,April,1.0942604067257442
"Rural Village, Hamlet and Isolated Dwelling",Thursday,April,1.05527250624858
"Rural Village, Hamlet and Isolated Dwelling",Friday,April,1.0240821858668485
