date,sunrise ,sunset
1-1-18,07:27,17:41
2-1-18,07:27,17:42
3-1-18,07:27,17:43
4-1-18,07:28,17:44
5-1-18,07:28,17:44
6-1-18,07:28,17:45
7-1-18,07:28,17:46
8-1-18,07:28,17:47
9-1-18,07:28,17:48
10-1-18,07:28,17:48
11-1-18,07:28,17:49
12-1-18,07:28,17:50
13-1-18,07:28,17:51
14-1-18,07:28,17:52
15-1-18,07:28,17:53
16-1-18,07:27,17:53
17-1-18,07:27,17:54
18-1-18,07:27,17:55
19-1-18,07:27,17:56
20-1-18,07:27,17:57
21-1-18,07:26,17:58
22-1-18,07:26,17:59
23-1-18,07:26,18:00
24-1-18,07:25,18:00
25-1-18,07:25,18:01
26-1-18,07:24,18:02
27-1-18,07:24,18:03
28-1-18,07:23,18:04
29-1-18,07:23,18:05
30-1-18,07:22,18:06
31-1-18,07:22,18:07
1-2-18,07:21,18:07
2-2-18,07:20,18:08
3-2-18,07:20,18:09
4-2-18,07:19,18:10
5-2-18,07:18,18:11
6-2-18,07:18,18:12
7-2-18,07:17,18:12
8-2-18,07:16,18:13
9-2-18,07:16,18:14
10-2-18,07:15,18:15
11-2-18,07:14,18:16
12-2-18,07:13,18:17
13-2-18,07:12,18:17
14-2-18,07:11,18:18
15-2-18,07:11,18:19
16-2-18,07:10,18:20
17-2-18,07:09,18:21
18-2-18,07:08,18:21
19-2-18,07:07,18:22
20-2-18,07:06,18:23
21-2-18,07:05,18:24
22-2-18,07:04,18:24
23-2-18,07:03,18:25
24-2-18,07:02,18:26
25-2-18,07:01,18:27
26-2-18,07:00,18:27
27-2-18,06:59,18:28
28-2-18,06:58,18:29
