date,speed (km/h),direction
1-1-18,12,N
2-1-18,8,N
3-1-18,4,NW
4-1-18,3,ENE
5-1-18,4,S
6-1-18,5,SSE
7-1-18,8,SW
8-1-18,9,NNW
9-1-18,4,S
10-1-18,10,SSE
11-1-18,12,NW
12-1-18,12,NNW
13-1-18,5,NNE
14-1-18,5,SSE
15-1-18,7,E
16-1-18,16,N
17-1-18,6,NNE
18-1-18,4,SSE
19-1-18,3,SSE
20-1-18,7,S
21-1-18,8,S
22-1-18,9,NW
23-1-18,5,NW
24-1-18,4,NNW
25-1-18,7,SSE
26-1-18,7,SE
27-1-18,8,NNE
28-1-18,8,N
29-1-18,9,N
30-1-18,5,SSE
31-1-18,11,S
1-2-18,9,NW
2-2-18,11,NE
3-2-18,8,SSE
4-2-18,5,NNE
5-2-18,7,ENE
6-2-18,8,N
7-2-18,12,N
8-2-18,7,E
9-2-18,5,S
10-2-18,7,N
11-2-18,12,N
12-2-18,8,NNE
13-2-18,2,NNE
14-2-18,5,SSE
15-2-18,9,S
16-2-18,8,N
17-2-18,5,NNE
18-2-18,8,SE
19-2-18,15,SSE
20-2-18,13,SSE
21-2-18,13,NNW
22-2-18,8,NNW
23-2-18,4,ENE
24-2-18,10,SSE
25-2-18,6,NNE
26-2-18,6,ENE
27-2-18,9,SSE
28-2-18,10,S
1-3-18,12,NNW
2-3-18,6,ESE
3-3-18,7,ESE
4-3-18,11,SSE
5-3-18,10,NE
6-3-18,8,NNE
7-3-18,8,NNE
8-3-18,9,SE
9-3-18,11,S
10-3-18,10,SSW
11-3-18,15,N
12-3-18,11,N
13-3-18,6,NNE
14-3-18,5,ESE
15-3-18,10,S
16-3-18,6,SSW
17-3-18,10,SSE
18-3-18,5,S
19-3-18,12,NW
20-3-18,8,N
21-3-18,8,SE
22-3-18,11,SSE
23-3-18,12,S
24-3-18,9,SSW
25-3-18,9,SSE
26-3-18,15,SSE
27-3-18,13,ESE
28-3-18,7,NNE
29-3-18,6,W
30-3-18,8,ENE
31-3-18,11,S
1-4-18,10,SSE
2-4-18,11,SE
3-4-18,11,ENE
4-4-18,10,NE
5-4-18,9,SSE
6-4-18,12,SSW
7-4-18,15,N
8-4-18,7,ESE
9-4-18,7,NE
10-4-18,6,NNE
11-4-18,8,SSE
12-4-18,17,S
13-4-18,12,S
14-4-18,15,NNW
15-4-18,7,NNW
16-4-18,10,S
17-4-18,12,S
18-4-18,10,NNE
19-4-18,9,NNE
20-4-18,12,ESE
21-4-18,6,ESE
22-4-18,9,N
23-4-18,4,NW
24-4-18,6,ESE
25-4-18,6,NW
26-4-18,5,NNE
27-4-18,2,N
28-4-18,4,SE
29-4-18,6,SSE
30-4-18,12,SE
1-5-18,14,SSE
2-5-18,14,SSE
3-5-18,14,SSE
4-5-18,8,NNE
5-5-18,6,N
6-5-18,3,WNW
7-5-18,4,S
8-5-18,8,S
9-5-18,12,S
10-5-18,10,S
11-5-18,13,S
12-5-18,13,SSE
13-5-18,11,SSE
14-5-18,10,SSE
15-5-18,8,ESE
16-5-18,5,SE
17-5-18,5,SSE
18-5-18,11,SSE
19-5-18,14,SSE
20-5-18,9,ESE
21-5-18,6,SE
22-5-18,7,SE
23-5-18,8,SSE
24-5-18,6,SE
25-5-18,7,SSE
26-5-18,7,S
