,6061,8767,7108,9971,5450,8467,6423,9052,5738,8829,4357,9134,5439,9001,7024,8995,7900,8626,6578,9121,7731,8967,8236,2986,4336,1792,6266,3527,8086,890,5615,1800,4297,668,4526,171,7965,2018,7741,974,7017,3310,5129,3967,7429,3482,6063,545,8084,2129,7739,1103,7850,2337,5796,5921,114,8243,3134,8317,3506,5892,2814,5275,5395,252,7030,2925,7541,2470,8419,1192,7016,5658,2638,7680,744,5246,2980,7504,1354,5545,3367,7940,1415,7560,26,7973,781,7627,1169,3009,1718,370,3849,2072,3723
6061,0.0,-,-,-,-39(0.99),0(0.92),-,-,0(0.9),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0(0.91),-,-,-,0(0.91),-,-,-,-,-,-,-,-,-,-,0(0.9),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0(0.9),-,-,-,-,-,0(0.9),-,-,-,-,4(0.9),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8767,-,0.0,0(0.9),-,-40(1.0),0(0.92),-,0(0.9),0(0.92),-,-,-,0(0.91),-,-,-,-,-,-,-,-,-,0(0.9),-1(0.9),-,0(0.91),1(0.9),0(0.93),-,1(0.9),0(0.91),0(0.92),0(0.91),0(0.9),-,-,0(0.9),-,-,-,-,-,0(0.91),-,-,-,-,-,0(0.9),-,0(0.9),-,-,1(0.91),-,1(0.91),-,-1(0.9),0(0.9),-1(0.9),-1(0.9),-,-,-,1(0.91),-,0(0.91),1(0.9),-,0(0.91),0(0.9),-,-,0(0.9),0(0.9),1(0.9),0(0.93),0(0.9),0(0.92),-,-,3(0.91),-,0(0.9),0(0.9),0(0.9),-,-,-,0(0.9),1(0.9),-,-,-,-,-,-
7108,-,0(0.9),0.0,0(0.92),-41(0.99),0(0.98),5(0.92),0(0.92),0(1.0),-,0(0.92),-,0(0.92),-,-,0(0.9),0(0.91),-,0(0.9),0(0.91),0(0.9),0(0.97),0(0.91),0(0.9),-,0(0.92),0(0.91),0(0.99),0(0.92),0(0.92),0(0.95),0(0.92),0(0.95),0(0.93),0(0.9),0(0.91),0(0.92),0(0.91),0(0.9),-,0(0.96),0(0.91),0(0.92),-,0(0.91),-,0(0.92),0(0.91),0(0.91),0(0.91),-,0(0.91),0(0.91),0(0.91),0(0.92),0(0.9),-,-,0(0.92),-,0(0.9),0(0.92),0(0.92),0(0.91),0(0.91),0(0.92),0(0.92),0(0.91),0(0.9),0(0.93),-,0(0.91),-,0(0.91),0(0.92),0(0.92),0(0.93),0(0.94),0(0.99),0(0.92),0(0.9),0(0.93),0(0.91),0(0.94),0(0.91),0(0.9),-,-,-,0(0.93),0(0.9),-,0(0.9),-,-,0(0.91),-
9971,-,-,0(0.92),0.0,-41(0.97),0(0.95),4(0.92),0(0.9),0(0.96),-,0(0.91),-,0(0.9),-,-,-,-,-,-,-,-,0(0.93),-,-,-,0(0.91),-,0(0.95),0(0.9),0(0.91),0(0.93),0(0.91),0(0.93),0(0.91),-,0(0.9),0(0.91),-,-,-,0(0.93),-,0(0.9),-,-,-,0(0.9),-,0(0.9),-,-,-,-,0(0.9),0(0.9),-,-,-,0(0.9),-,-,0(0.9),0(0.91),-,0(0.9),0(0.91),0(0.9),0(0.9),-,0(0.91),-,-,-,-,0(0.9),0(0.91),0(0.91),0(0.91),0(0.95),0(0.9),-,2(0.91),-,0(0.91),-,-,-,-,-,0(0.92),-,-,-,-,-,-,-
5450,-39(0.99),-40(1.0),-41(0.99),-41(0.97),0.0,39(1.02),45(0.99),40(0.99),41(0.98),40(0.98),41(0.99),38(0.98),40(1.0),54(1.0),39(0.99),41(0.98),41(0.98),39(0.99),40(0.98),40(0.98),34(0.97),40(0.96),40(0.98),38(0.97),39(0.95),40(0.98),41(0.98),41(1.02),40(0.97),41(0.99),41(0.99),40(1.0),41(1.0),41(0.98),40(0.97),41(0.95),40(0.98),40(0.99),40(0.99),41(0.98),43(0.99),41(0.97),40(1.0),39(0.98),45(1.0),39(0.95),41(0.96),41(0.98),40(0.99),40(0.98),40(1.0),41(0.98),42(0.99),41(0.99),41(1.01),41(0.99),40(0.99),45(0.98),40(0.98),39(0.99),39(0.99),40(0.96),40(0.95),40(0.97),41(0.99),40(0.98),40(1.0),41(0.99),41(1.0),58(1.01),58(0.99),39(0.97),41(0.98),40(1.0),40(1.01),41(0.98),40(1.0),39(0.95),40(1.0),40(0.97),41(0.97),43(1.02),41(0.95),40(0.97),40(0.98),60(1.0),40(0.97),39(0.98),39(0.97),40(1.0),41(0.99),39(0.97),40(0.98),41(0.98),41(1.0),40(0.97),40(0.97)
8467,0(0.92),0(0.92),0(0.98),0(0.95),39(1.02),0.0,0(1.0),0(0.96),0(1.12),0(0.92),0(0.95),0(0.91),0(0.95),-,0(0.91),0(0.91),0(0.96),0(0.94),0(0.95),0(0.96),0(0.97),0(1.07),0(0.94),0(0.94),0(0.93),0(0.96),1(0.91),0(1.11),0(0.96),0(0.96),0(1.01),1(1.02),0(1.02),0(0.97),0(0.93),0(0.95),0(0.94),0(0.94),0(0.96),-,0(1.09),0(0.95),0(0.97),0(0.94),0(0.96),0(0.91),0(0.96),0(0.96),0(0.93),0(0.96),0(0.92),0(0.98),0(0.96),0(0.91),0(0.98),0(0.91),0(0.91),0(0.91),0(0.97),0(0.92),0(0.95),0(0.99),0(0.95),0(0.96),0(0.92),0(0.97),0(0.95),0(0.94),0(0.94),0(0.96),0(0.93),0(0.95),1(0.91),0(0.95),0(1.0),0(0.95),1(0.99),0(1.01),0(1.1),0(0.99),0(0.91),0(0.99),0(0.95),0(0.99),0(0.92),0(0.95),-,0(0.92),0(0.92),0(0.99),0(0.91),-,0(0.94),0(0.93),0(0.92),0(0.95),-
6423,-,-,5(0.92),4(0.92),45(0.99),0(1.0),0.0,-5(0.92),1(1.02),-,-5(0.91),-,-5(0.91),-,-,-,-5(0.9),1(0.9),-,-5(0.91),-4(0.9),-5(0.96),-5(0.91),-6(0.9),-5(0.91),-5(0.92),-,1(1.0),-5(0.91),-4(0.92),-5(0.93),1(1.05),-5(0.93),-4(0.92),-5(0.9),-4(0.91),-5(0.92),-,-,-,-4(0.97),-5(0.9),-5(0.91),-,1(0.94),-6(0.9),-4(0.92),-,-5(0.9),-4(0.91),-,-4(0.91),-4(0.91),-,-5(0.91),-,-,-,-5(0.91),-,-6(0.9),-5(0.92),-5(0.92),-5(0.91),-4(0.9),-4(0.91),-5(0.91),1(0.9),1(0.9),-5(0.91),1(0.9),-5(0.91),-,-,-4(0.91),-4(0.91),0(1.0),-5(0.95),-5(0.97),-5(0.92),-4(0.9),0(0.96),-4(0.91),-5(0.93),-5(0.9),-,-,-,-,-5(0.92),-,-,-5(0.9),-,-,-5(0.91),-
9052,-,0(0.9),0(0.92),0(0.9),40(0.99),0(0.96),-5(0.92),0.0,0(0.95),-,0(0.91),-,0(0.91),-,-,-,0(0.9),-,-,0(0.9),-,0(0.94),0(0.91),-,-,0(0.92),-,0(0.95),0(0.91),0(0.91),0(0.93),0(0.9),0(0.93),0(0.91),-,-,0(0.91),0(0.9),-,-,0(0.93),-,0(0.91),-,-,-,-,-,0(0.91),0(0.9),-,0(0.9),0(0.9),-,0(0.91),-,-,-,0(0.91),-,0(0.9),0(0.91),0(0.91),-,0(0.9),0(0.91),0(0.91),-,-,0(0.92),0(0.9),0(0.91),-,0(0.9),0(0.91),0(0.91),0(0.91),0(0.92),0(0.96),0(0.91),-,3(0.91),-,0(0.92),0(0.9),-,-,-,-,0(0.92),-,-,-,-,-,0(0.9),-
5738,0(0.9),0(0.92),0(1.0),0(0.96),41(0.98),0(1.12),1(1.02),0(0.95),0.0,0(0.91),0(0.96),-,0(0.95),-,-,0(0.92),0(0.94),0(0.93),0(0.92),0(0.94),0(0.95),0(1.09),0(0.93),0(0.93),0(0.94),0(0.96),0(0.94),0(1.2),0(0.95),0(0.96),0(1.04),0(1.1),0(1.04),0(0.99),0(0.94),0(0.96),0(0.95),0(0.92),0(0.92),-,0(1.08),0(0.93),0(0.95),0(0.92),0(0.99),0(0.91),0(0.97),0(0.94),0(0.93),0(0.94),0(0.91),0(0.96),0(0.95),0(0.93),0(0.95),0(0.91),-,0(0.9),0(0.97),0(0.91),0(0.92),0(0.98),0(0.97),0(0.94),0(0.94),0(0.96),0(0.94),0(0.96),0(0.94),0(0.97),0(0.93),0(0.94),0(0.91),0(0.93),0(0.97),0(0.96),0(1.04),0(1.02),0(1.11),0(0.97),0(0.92),0(1.03),0(0.95),0(0.99),0(0.93),0(0.94),-,-,0(0.91),0(0.99),0(0.92),-,0(0.92),0(0.92),0(0.92),0(0.95),-
8829,-,-,-,-,40(0.98),0(0.92),-,-,0(0.91),0.0,-,-,-,-,-,-,-,-,-,-,-,0(0.9),-,-,-,-,-,0(0.92),-,-,-,0(0.92),-,-,-,-,-,-,-,-,-,-,0(0.9),-,-,-,-,-,-,-,-,-,-,-,0(0.9),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0(0.9),-,0(0.9),-,0(0.9),-,-,-,-,-,-,0(0.9),-,-,-,-,-,-,-,-,-,-,-
