,7850,9971,5796,9052,8829,9134,7739,8995,7024,9001,8467,9121,6578,370,8967,7017,1792,8086,890,5395,1800,8236,5738,2925,8419,2018,7016,171,7108,974,6423,2072,8767,1169,7504,3367,5921,3527,5658,3967,7900,545,7940,2129,5545,2986,6061,1103,5246,3506,8626,2337,7560,2638,7541,2980,7973,3482,5275,3009,8243,8084,3134,6063,2814,7741,7680,2470,7627,4297,7030,6266,4336,7429,7731,252,7965,1192,5129,3849,5892,744,5439,1354,4526,668,5450,4357,5615,1415,8317,3310,781,1718,26,114,3723,4296
7850,0.0,0(1.35),0(1.44),0(1.3),0(1.1),0(1.08),0(1.14),0(1.11),-1(1.04),12(1.01),0(1.15),0(1.4),0(1.31),0(1.17),0(1.73),0(1.46),0(1.45),0(1.32),0(1.46),0(1.18),3(1.3),0(1.33),4(1.2),0(1.21),0(1.19),0(1.24),0(1.1),0(1.32),0(1.49),-1(1.02),1(1.7),0(1.36),0(1.13),0(1.14),0(1.45),0(1.32),0(1.14),0(1.18),0(1.38),0(1.28),0(1.32),0(1.42),0(1.52),0(1.4),0(1.62),0(1.33),0(1.15),0(1.45),0(1.47),0(1.32),0(1.25),0(1.12),0(1.39),0(1.55),0(1.24),0(1.92),0(1.07),0(1.04),0(1.34),-3(0.94),0(1.13),0(1.25),0(1.4),0(1.35),0(1.35),0(1.36),0(1.38),0(1.46),0(1.59),0(1.62),0(1.38),0(1.14),0(1.15),0(1.34),0(1.66),0(1.41),0(1.31),0(1.3),0(1.43),0(1.16),0(1.41),3(1.46),0(1.44),0(1.25),0(1.09),0(1.44),-41(1.15),0(1.46),0(1.68),0(1.18),0(1.15),0(1.28),0(1.08),0(1.37),-3(0.96),0(1.12),-2(1.01),60(2.42)
9971,0(1.35),0.0,0(1.25),0(1.17),0(1.06),0(1.05),0(1.09),0(1.07),0(1.03),13(1.0),0(1.12),0(1.22),0(1.17),0(1.1),0(1.41),2(1.25),0(1.26),0(1.17),0(1.26),0(1.12),0(1.19),0(1.18),0(1.11),0(1.13),0(1.12),0(1.13),0(1.06),0(1.16),0(1.28),0(1.0),1(1.36),0(1.2),0(1.09),0(1.09),0(1.25),0(1.17),0(1.09),0(1.11),0(1.22),0(1.15),0(1.17),0(1.23),0(1.29),0(1.22),0(1.34),0(1.18),0(1.09),0(1.25),0(1.26),0(1.19),0(1.14),0(1.08),0(1.26),0(1.31),0(1.15),0(1.53),0(1.04),0(1.02),0(1.18),-2(0.93),0(1.08),0(1.15),0(1.22),0(1.17),0(1.19),0(1.2),0(1.21),0(1.27),0(1.34),0(1.35),0(1.22),0(1.09),0(1.08),0(1.14),0(1.36),0(1.23),0(1.17),0(1.16),0(1.24),0(1.1),0(1.22),3(1.28),0(1.26),0(1.14),0(1.06),0(1.25),-40(1.11),0(1.26),0(1.39),0(1.11),0(1.11),0(1.15),0(1.05),0(1.21),3(0.96),0(1.08),0(1.0),60(2.27)
5796,0(1.44),0(1.25),0.0,0(1.23),0(1.09),0(1.08),0(1.13),0(1.11),0(1.06),13(1.02),0(1.16),0(1.29),0(1.23),0(1.14),0(1.51),2(1.33),0(1.33),0(1.23),0(1.34),0(1.16),2(1.25),0(1.25),4(1.16),0(1.17),0(1.17),0(1.19),0(1.09),0(1.22),0(1.35),0(1.03),1(1.47),0(1.27),0(1.13),0(1.13),0(1.32),0(1.23),0(1.14),0(1.15),0(1.29),0(1.21),0(1.24),0(1.3),0(1.37),0(1.29),0(1.41),0(1.24),0(1.13),0(1.32),0(1.33),0(1.25),0(1.2),0(1.12),0(1.32),0(1.4),0(1.19),0(1.65),0(1.07),0(1.04),0(1.25),-3(0.94),0(1.12),0(1.2),0(1.29),0(1.23),0(1.25),0(1.27),0(1.28),0(1.34),0(1.43),0(1.45),0(1.29),0(1.13),0(1.12),0(1.2),0(1.47),0(1.3),0(1.23),0(1.22),0(1.32),0(1.14),0(1.29),3(1.36),0(1.33),0(1.19),0(1.09),0(1.32),-40(1.15),0(1.34),0(1.48),0(1.15),0(1.14),0(1.21),0(1.08),0(1.28),3(0.98),0(1.13),0(1.03),60(2.74)
9052,0(1.3),0(1.17),0(1.23),0.0,0(1.06),0(1.06),0(1.09),0(1.07),0(1.04),14(1.0),0(1.12),0(1.2),0(1.16),0(1.09),0(1.36),2(1.22),0(1.23),0(1.15),0(1.24),0(1.11),0(1.18),0(1.17),0(1.1),0(1.12),0(1.12),0(1.12),0(1.06),0(1.14),0(1.25),0(1.01),1(1.31),0(1.18),0(1.1),0(1.09),0(1.22),0(1.15),0(1.1),0(1.11),0(1.21),0(1.14),0(1.16),0(1.21),0(1.25),0(1.2),0(1.29),0(1.17),0(1.09),0(1.22),0(1.23),0(1.18),0(1.14),0(1.08),0(1.24),0(1.29),0(1.14),0(1.47),0(1.04),0(1.02),0(1.17),-2(0.94),0(1.09),0(1.14),0(1.2),0(1.15),0(1.17),0(1.19),0(1.19),0(1.25),0(1.3),0(1.32),0(1.21),0(1.09),0(1.08),0(1.12),0(1.33),0(1.2),0(1.16),0(1.15),0(1.22),0(1.1),0(1.19),3(1.26),0(1.24),0(1.13),0(1.06),0(1.22),-40(1.12),0(1.24),0(1.35),0(1.11),0(1.11),0(1.13),0(1.05),0(1.19),3(0.97),0(1.09),0(1.01),60(2.42)
8829,0(1.1),0(1.06),0(1.09),0(1.06),0.0,-1(1.04),0(1.07),0(1.04),0(1.03),13(1.01),0(1.09),0(1.07),0(1.06),0(1.05),0(1.14),2(1.08),0(1.1),0(1.05),0(1.09),0(1.08),0(1.11),0(1.06),0(1.06),0(1.07),0(1.08),0(1.05),0(1.04),0(1.04),0(1.09),0(1.01),1(1.08),0(1.06),0(1.07),0(1.06),0(1.08),0(1.04),0(1.06),0(1.08),0(1.08),0(1.05),0(1.05),0(1.08),0(1.08),0(1.07),0(1.14),0(1.05),0(1.05),0(1.09),0(1.09),0(1.08),0(1.06),0(1.06),0(1.17),0(1.12),0(1.08),0(1.17),0(1.03),0(1.01),0(1.06),-1(0.99),0(1.05),0(1.06),0(1.07),0(1.04),0(1.05),0(1.08),0(1.07),0(1.1),0(1.12),0(1.12),0(1.08),0(1.05),0(1.04),4(1.02),0(1.15),0(1.07),0(1.05),0(1.05),0(1.09),0(1.06),0(1.06),0(1.14),0(1.1),0(1.05),0(1.04),0(1.09),-40(1.11),0(1.1),0(1.14),0(1.06),0(1.07),0(1.04),0(1.03),0(1.08),1(0.98),0(1.05),0(1.01),60(2.58)
9134,0(1.08),0(1.05),0(1.08),0(1.06),-1(1.04),0.0,1(1.07),1(1.05),1(1.04),15(1.02),1(1.1),0(1.06),0(1.05),1(1.04),0(1.12),4(1.07),0(1.09),0(1.03),0(1.09),1(1.08),2(1.12),0(1.06),1(1.05),0(1.07),1(1.09),1(1.04),1(1.04),0(1.02),0(1.09),2(1.03),7(1.06),0(1.05),1(1.08),1(1.07),0(1.07),0(1.03),1(1.07),2(1.09),0(1.09),0(1.05),1(1.04),0(1.06),0(1.07),0(1.06),0(1.12),0(1.08),1(1.06),0(1.07),0(1.08),1(1.08),1(1.06),1(1.07),0(1.16),0(1.11),0(1.08),0(1.15),1(1.03),1(1.02),0(1.05),1(1.02),1(1.07),1(1.06),0(1.07),2(1.02),0(1.04),0(1.07),0(1.07),0(1.11),0(1.11),0(1.11),0(1.08),1(1.06),0(1.03),6(1.03),0(1.12),0(1.06),0(1.05),0(1.05),0(1.08),1(1.07),0(1.04),1(1.15),0(1.1),1(1.04),1(1.04),0(1.08),-38(1.12),0(1.1),0(1.13),1(1.06),0(1.1),1(1.03),1(1.04),0(1.08),2(1.01),1(1.07),1(1.03),60(2.84)
7739,0(1.14),0(1.09),0(1.13),0(1.09),0(1.07),1(1.07),0.0,0(1.08),0(1.06),14(1.02),0(1.13),0(1.11),0(1.09),0(1.08),0(1.19),2(1.11),0(1.14),0(1.08),0(1.14),0(1.12),0(1.15),0(1.1),0(1.08),0(1.11),0(1.13),0(1.08),0(1.07),0(1.07),0(1.14),0(1.03),1(1.11),0(1.1),0(1.12),0(1.1),0(1.12),0(1.07),0(1.1),0(1.11),0(1.13),0(1.09),0(1.09),0(1.12),0(1.12),0(1.11),0(1.2),0(1.09),0(1.09),0(1.13),0(1.13),0(1.12),0(1.09),0(1.1),0(1.23),0(1.16),0(1.13),0(1.23),0(1.06),0(1.04),0(1.09),-1(1.01),0(1.09),0(1.1),0(1.11),0(1.06),0(1.08),0(1.12),0(1.11),0(1.16),0(1.17),0(1.16),0(1.13),0(1.09),0(1.07),4(1.04),0(1.21),0(1.11),0(1.09),0(1.09),0(1.13),0(1.1),0(1.09),0(1.19),0(1.15),0(1.08),0(1.07),0(1.14),-40(1.14),0(1.15),0(1.2),0(1.1),0(1.12),0(1.07),0(1.06),0(1.12),1(1.01),0(1.09),0(1.03),60(3.02)
8995,0(1.11),0(1.07),0(1.11),0(1.07),0(1.04),1(1.05),0(1.08),0.0,0(1.03),13(1.01),0(1.1),0(1.09),0(1.07),0(1.05),0(1.16),2(1.09),0(1.11),0(1.05),0(1.11),0(1.09),0(1.12),0(1.08),0(1.07),0(1.09),0(1.1),0(1.06),0(1.05),0(1.05),0(1.11),0(1.02),1(1.09),0(1.07),0(1.09),0(1.08),0(1.09),0(1.05),0(1.07),0(1.09),0(1.1),0(1.06),0(1.06),0(1.09),0(1.1),0(1.09),0(1.16),0(1.06),0(1.06),0(1.1),0(1.1),0(1.09),0(1.07),0(1.07),0(1.19),0(1.13),0(1.1),0(1.19),0(1.03),0(1.02),0(1.07),-1(1.0),0(1.06),0(1.07),0(1.09),0(1.05),0(1.06),0(1.09),0(1.08),0(1.12),0(1.14),0(1.13),0(1.1),0(1.06),0(1.05),4(1.02),0(1.17),0(1.09),0(1.07),0(1.06),0(1.1),0(1.08),0(1.07),0(1.16),0(1.12),0(1.06),0(1.05),0(1.11),-40(1.12),0(1.12),0(1.16),0(1.08),0(1.09),0(1.05),0(1.04),0(1.09),1(0.99),0(1.06),0(1.01),60(2.74)
7024,-1(1.04),0(1.03),0(1.06),0(1.04),0(1.03),1(1.04),0(1.06),0(1.03),0.0,14(1.0),0(1.09),0(1.04),0(1.03),0(1.03),0(1.06),3(1.04),0(1.06),0(1.02),0(1.06),0(1.06),0(1.09),0(1.04),0(1.04),0(1.05),0(1.07),0(1.03),0(1.03),0(1.01),0(1.05),0(1.01),5(1.06),0(1.03),0(1.07),0(1.05),0(1.04),0(1.01),0(1.05),1(1.07),0(1.06),0(1.03),0(1.03),0(1.04),0(1.04),0(1.04),3(1.09),-1(1.03),0(1.04),0(1.05),0(1.04),0(1.06),0(1.04),0(1.05),0(1.14),0(1.07),0(1.06),0(1.08),0(1.02),0(1.0),0(1.03),0(1.0),0(1.04),0(1.04),0(1.04),1(1.01),0(1.02),0(1.05),0(1.04),0(1.07),0(1.07),0(1.07),0(1.06),0(1.04),0(1.02),4(1.01),0(1.1),0(1.04),0(1.03),0(1.03),0(1.06),0(1.05),0(1.02),0(1.12),0(1.07),0(1.03),0(1.03),0(1.05),-40(1.11),0(1.06),0(1.08),0(1.05),-1(1.06),0(1.02),0(1.02),0(1.05),0(1.0),0(1.05),0(1.01),60(2.38)
9001,12(1.01),13(1.0),13(1.02),14(1.0),13(1.01),15(1.02),14(1.02),13(1.01),14(1.0),0.0,-14(1.06),-13(1.01),-13(1.0),-13(1.01),-13(1.02),-11(1.03),-14(1.01),-13(1.0),-13(1.01),-14(1.03),-13(1.06),-14(1.0),-13(1.03),-13(1.02),-14(1.03),-13(1.0),-13(1.01),-13(0.99),-13(1.01),-13(1.0),-8(1.07),-13(1.0),-14(1.03),-13(1.02),-13(1.01),-13(0.99),-14(1.02),-13(1.05),-14(1.03),-14(1.0),-13(1.0),-13(1.01),-14(1.0),-13(1.01),-10(1.06),-15(1.01),-14(1.01),-13(1.01),-14(1.0),-14(1.02),-14(1.01),-13(1.02),-13(1.08),-13(1.02),-13(1.03),-13(1.02),-14(1.0),-14(1.0),-13(1.0),-14(1.0),-14(1.01),-14(1.01),-13(1.0),-12(1.0),-13(1.0),-13(1.01),-13(1.0),-14(1.02),-13(1.02),-13(1.02),-14(1.01),-14(1.01),-14(1.01),-9(1.0),-13(1.05),-13(1.0),-14(1.0),-14(1.0),-14(1.01),-14(1.01),-13(1.0),-14(1.07),-14(1.02),-13(1.0),-13(1.01),-13(1.01),-53(1.17),-14(1.02),-13(1.02),-14(1.02),-14(1.03),-13(1.0),-14(1.0),-14(1.01),-13(0.99),-13(1.02),-14(0.99),60(1.79)
8467,0(1.15),0(1.12),0(1.16),0(1.12),0(1.09),1(1.1),0(1.13),0(1.1),0(1.09),-14(1.06),0.0,0(1.13),0(1.11),0(1.1),0(1.2),2(1.12),0(1.16),0(1.1),0(1.16),0(1.14),0(1.16),0(1.12),0(1.1),0(1.13),0(1.15),0(1.11),0(1.1),0(1.09),0(1.16),0(1.06),5(1.12),0(1.12),0(1.14),0(1.13),0(1.14),0(1.09),0(1.12),1(1.18),0(1.15),0(1.11),0(1.11),0(1.14),0(1.15),0(1.13),0(1.19),0(1.11),0(1.12),0(1.15),0(1.14),0(1.15),0(1.12),0(1.12),0(1.24),0(1.18),0(1.15),0(1.23),0(1.08),0(1.07),0(1.11),-1(1.04),0(1.12),0(1.12),0(1.13),0(1.09),0(1.11),0(1.14),0(1.13),0(1.17),0(1.18),0(1.18),0(1.15),0(1.11),0(1.09),4(1.06),0(1.23),0(1.13),0(1.12),0(1.11),0(1.15),0(1.13),0(1.11),0(1.2),0(1.17),0(1.1),0(1.09),0(1.15),-40(1.19),0(1.17),0(1.21),0(1.12),0(1.14),0(1.1),0(1.09),0(1.15),1(1.04),0(1.12),0(1.06),60(4.93)
9121,0(1.4),0(1.22),0(1.29),0(1.2),0(1.07),0(1.06),0(1.11),0(1.09),0(1.04),-13(1.01),0(1.13),0.0,0(1.2),0(1.12),0(1.46),2(1.29),0(1.29),0(1.2),0(1.3),0(1.14),0(1.21),0(1.21),0(1.12),0(1.15),0(1.14),0(1.15),0(1.08),0(1.19),0(1.31),0(1.01),1(1.41),0(1.23),0(1.11),0(1.11),0(1.28),0(1.2),0(1.11),0(1.13),0(1.25),0(1.18),0(1.2),0(1.27),0(1.32),0(1.25),0(1.38),0(1.21),0(1.11),0(1.29),0(1.29),0(1.21),0(1.17),0(1.1),0(1.29),0(1.35),0(1.17),0(1.59),0(1.06),0(1.03),0(1.21),-2(0.94),0(1.1),0(1.17),0(1.25),0(1.2),0(1.22),0(1.23),0(1.24),0(1.3),0(1.38),0(1.4),0(1.25),0(1.1),0(1.1),0(1.17),0(1.42),0(1.26),0(1.2),0(1.19),0(1.28),0(1.12),0(1.25),3(1.31),0(1.29),0(1.16),0(1.07),0(1.28),-40(1.12),0(1.3),0(1.44),0(1.13),0(1.12),0(1.18),0(1.06),0(1.24),3(0.96),0(1.1),0(1.01),60(2.39)
6578,0(1.31),0(1.17),0(1.23),0(1.16),0(1.06),0(1.05),0(1.09),0(1.07),0(1.03),-13(1.0),0(1.11),0(1.2),0.0,0(1.09),0(1.37),2(1.23),0(1.24),0(1.16),0(1.24),0(1.11),0(1.18),0(1.17),0(1.1),0(1.12),0(1.12),0(1.12),0(1.06),0(1.14),0(1.25),0(1.01),1(1.33),0(1.18),0(1.09),0(1.09),0(1.23),0(1.15),0(1.09),0(1.1),0(1.21),0(1.14),0(1.16),0(1.21),0(1.26),0(1.2),0(1.31),0(1.17),0(1.09),0(1.23),0(1.23),0(1.18),0(1.14),0(1.08),0(1.25),0(1.29),0(1.14),0(1.49),0(1.04),0(1.02),0(1.17),-2(0.94),0(1.08),0(1.14),0(1.2),0(1.15),0(1.17),0(1.19),0(1.19),0(1.25),0(1.31),0(1.32),0(1.21),0(1.08),0(1.08),0(1.12),0(1.34),0(1.21),0(1.16),0(1.15),0(1.23),0(1.09),0(1.2),3(1.26),0(1.24),0(1.13),0(1.06),0(1.23),-40(1.11),0(1.24),0(1.35),0(1.11),0(1.1),0(1.14),0(1.05),0(1.19),3(0.96),0(1.08),0(1.01),60(2.28)
370,0(1.17),0(1.1),0(1.14),0(1.09),0(1.05),1(1.04),0(1.08),0(1.05),0(1.03),-13(1.01),0(1.1),0(1.12),0(1.09),0.0,0(1.22),2(1.13),0(1.15),0(1.09),0(1.14),0(1.09),0(1.13),0(1.1),0(1.07),0(1.09),0(1.1),0(1.07),0(1.05),0(1.08),0(1.15),0(1.01),1(1.15),0(1.1),0(1.08),0(1.07),0(1.13),0(1.08),0(1.07),0(1.09),0(1.12),0(1.08),0(1.09),0(1.12),0(1.15),0(1.12),0(1.2),0(1.09),0(1.07),0(1.14),0(1.14),0(1.11),0(1.08),0(1.06),0(1.19),0(1.17),0(1.1),0(1.28),0(1.03),0(1.02),0(1.1),-1(0.97),0(1.06),0(1.08),0(1.12),0(1.08),0(1.1),0(1.11),0(1.11),0(1.15),0(1.18),0(1.19),0(1.12),0(1.06),0(1.06),0(1.05),0(1.21),0(1.12),0(1.09),0(1.09),0(1.14),0(1.07),0(1.11),0(1.17),0(1.14),0(1.07),0(1.05),0(1.14),-40(1.11),0(1.15),0(1.22),0(1.08),0(1.09),0(1.08),0(1.04),0(1.11),1(0.97),0(1.06),0(1.0),60(2.79)
