substation_id,datetime_GMT,generation_MW,uncertainty_MW,stats_error,bias_error,lcl_MW,ucl_MW,version_id,version,installedcapacity_MWp,capacity_MWp,site_count,calculation_time_s
0,2017-01-01 08:30:00,14.2,None,150,None,8.87,19.6,46,0.1.5b,11500,11180,46,0
0,2017-01-01 09:00:00,81.9,None,83,None,73.9,89.9,46,0.1.5b,11500,11180,200,1
0,2017-01-01 09:30:00,170,None,80,None,156,183,46,0.1.5b,11500,11180,280,2
0,2017-01-01 10:00:00,283,None,110,None,254,312,46,0.1.5b,11500,11180,300,2
0,2017-01-01 10:30:00,399,None,120,None,353,444,46,0.1.5b,11500,11180,315,2
0,2017-01-01 11:00:00,466,None,120,None,411,522,46,0.1.5b,11500,11180,300,2
0,2017-01-01 11:30:00,553,None,130,None,487,620,46,0.1.5b,11500,11180,312,2
0,2017-01-01 12:00:00,565,None,120,None,498,632,46,0.1.5b,11500,11180,299,2
0,2017-01-01 12:30:00,539,None,130,None,471,607,46,0.1.5b,11500,11180,302,2
0,2017-01-01 13:00:00,542,None,130,None,474,611,46,0.1.5b,11500,11180,302,2
0,2017-01-01 13:30:00,504,None,130,None,439,569,46,0.1.5b,11500,11180,272,2
0,2017-01-01 14:00:00,448,None,120,None,394,503,46,0.1.5b,11500,11180,280,2
0,2017-01-01 14:30:00,344,None,100,None,306,381,46,0.1.5b,11500,11180,253,2
0,2017-01-01 15:00:00,282,None,100,None,251,313,46,0.1.5b,11500,11180,254,2
0,2017-01-01 15:30:00,178,None,130,None,155,202,46,0.1.5b,11500,11180,273,2
0,2017-01-01 16:00:00,49,None,100,None,30.7,67.3,46,0.1.5b,11500,11180,24,0
0,2017-01-02 08:30:00,61.3,None,75,None,52.9,69.8,46,0.1.5b,11500,11180,82,0
0,2017-01-02 09:00:00,404,None,83,None,373,434,46,0.1.5b,11500,11180,327,2
0,2017-01-02 09:30:00,1120,None,77,None,1040,1200,46,0.1.5b,11500,11180,316,2
0,2017-01-02 10:00:00,2010,None,65,None,1890,2130,46,0.1.5b,11500,11180,308,2
0,2017-01-02 10:30:00,2770,None,57,None,2620,2920,46,0.1.5b,11500,11180,308,2
0,2017-01-02 11:00:00,3340,None,51,None,3180,3510,46,0.1.5b,11500,11180,302,2
0,2017-01-02 11:30:00,3690,None,49,None,3530,3860,46,0.1.5b,11500,11180,335,2
0,2017-01-02 12:00:00,4060,None,44,None,3890,4230,46,0.1.5b,11500,11180,302,2
0,2017-01-02 12:30:00,4030,None,47,None,3860,4200,46,0.1.5b,11500,11180,336,2
0,2017-01-02 13:00:00,4000,None,48,None,3820,4170,46,0.1.5b,11500,11180,325,2
0,2017-01-02 13:30:00,3700,None,51,None,3530,3870,46,0.1.5b,11500,11180,324,2
0,2017-01-02 14:00:00,3150,None,56,None,2990,3310,46,0.1.5b,11500,11180,336,2
0,2017-01-02 14:30:00,2460,None,64,None,2320,2600,46,0.1.5b,11500,11180,336,2
0,2017-01-02 15:00:00,1700,None,73,None,1590,1810,46,0.1.5b,11500,11180,334,2
0,2017-01-02 15:30:00,878,None,85,None,810,947,46,0.1.5b,11500,11180,325,2
0,2017-01-02 16:00:00,263,None,91,None,240,286,46,0.1.5b,11500,11180,294,1
0,2017-01-02 16:30:00,22,None,150,None,None,56.7,46,0.1.5b,11500,11180,5,0
0,2017-01-03 08:00:00,1.24,None,180,None,0.12,2.36,46,0.1.5b,11500,11180,13,0
0,2017-01-03 08:30:00,81.3,None,81,None,71.8,90.9,46,0.1.5b,11500,11180,132,1
0,2017-01-03 09:00:00,355,None,120,None,317,393,46,0.1.5b,11500,11180,311,1
0,2017-01-03 09:30:00,780,None,110,None,702,858,46,0.1.5b,11500,11180,327,3
0,2017-01-03 10:00:00,1210,None,96,None,1100,1320,46,0.1.5b,11500,11180,330,2
0,2017-01-03 10:30:00,1520,None,90,None,1390,1640,46,0.1.5b,11500,11180,315,2
0,2017-01-03 11:00:00,1800,None,80,None,1670,1940,46,0.1.5b,11500,11180,307,3
0,2017-01-03 11:30:00,1930,None,76,None,1800,2060,46,0.1.5b,11500,11180,331,3
0,2017-01-03 12:00:00,1970,None,73,None,1840,2100,46,0.1.5b,11500,11180,329,2
0,2017-01-03 12:30:00,1890,None,74,None,1770,2020,46,0.1.5b,11500,11180,331,2
0,2017-01-03 13:00:00,1850,None,76,None,1720,1970,46,0.1.5b,11500,11180,341,2
0,2017-01-03 13:30:00,1650,None,79,None,1540,1770,46,0.1.5b,11500,11180,331,2
0,2017-01-03 14:00:00,1370,None,84,None,1270,1470,46,0.1.5b,11500,11180,346,2
0,2017-01-03 14:30:00,1050,None,90,None,959,1130,46,0.1.5b,11500,11180,328,2
0,2017-01-03 15:00:00,747,None,100,None,678,816,46,0.1.5b,11500,11180,329,2
0,2017-01-03 15:30:00,448,None,110,None,401,496,46,0.1.5b,11500,11180,322,2
0,2017-01-03 16:00:00,211,None,100,None,187,236,46,0.1.5b,11500,11180,205,1
0,2017-01-03 16:30:00,56.7,None,130,None,23.8,89.6,46,0.1.5b,11500,11180,16,0
0,2017-01-04 08:30:00,15.3,None,270,None,5.56,25,46,0.1.5b,11500,11180,51,0
0,2017-01-04 09:00:00,117,None,99,None,106,128,46,0.1.5b,11500,11180,291,2
0,2017-01-04 09:30:00,306,None,96,None,278,333,46,0.1.5b,11500,11180,315,2
0,2017-01-04 10:00:00,572,None,92,None,525,618,46,0.1.5b,11500,11180,350,2
0,2017-01-04 10:30:00,867,None,91,None,796,938,46,0.1.5b,11500,11180,336,2
0,2017-01-04 11:00:00,1230,None,91,None,1120,1330,46,0.1.5b,11500,11180,324,2
0,2017-01-04 11:30:00,1490,None,82,None,1380,1600,46,0.1.5b,11500,11180,329,2
0,2017-01-04 12:00:00,1720,None,81,None,1590,1840,46,0.1.5b,11500,11180,323,3
0,2017-01-04 12:30:00,1880,None,77,None,1750,2010,46,0.1.5b,11500,11180,329,2
0,2017-01-04 13:00:00,1980,None,82,None,1830,2120,46,0.1.5b,11500,11180,330,2
0,2017-01-04 13:30:00,1870,None,78,None,1740,2000,46,0.1.5b,11500,11180,348,2
0,2017-01-04 14:00:00,1580,None,83,None,1460,1690,46,0.1.5b,11500,11180,344,2
0,2017-01-04 14:30:00,1250,None,90,None,1150,1350,46,0.1.5b,11500,11180,329,2
0,2017-01-04 15:00:00,881,None,96,None,806,956,46,0.1.5b,11500,11180,346,2
0,2017-01-04 15:30:00,450,None,94,None,412,488,46,0.1.5b,11500,11180,341,2
