time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,112.2503483567968,102.06030352341381,117.08869667009472,120.70684381801173,116.12178673889086,128.93634199079952,131.19091444897123
1,105.8450457297279,96.61329378611129,112.54710328386865,114.32031686274821,115.04443163372815,123.61616688850178,131.19091444897123
2,100.5399291803024,93.33605281200641,112.54710328386865,109.95066223060839,110.67477700158831,121.5732327603089,125.87073934667347
3,95.24987118374916,86.02127853318571,108.4354840192063,101.51748402821886,106.32018092232074,119.38840544423898,120.55785037763951
4,91.9726302096443,80.8539998709619,105.15824304510143,99.33265671214895,106.32018092232074,111.88340302587133,117.28060940353463
5,87.60297557750447,75.54888332153642,100.11116186315344,95.10812610047462,100.9808919664754,105.48587281841087,117.28060940353463
6,83.26343805110916,74.45646966350147,94.92882464805739,94.03077099531193,97.72599567850658,104.39345916037591,113.20567285981049
7,81.2013900693687,71.20934579514113,88.37434269984766,90.75353002120706,95.54116836243665,96.9035152948805,111.02084554374058
8,77.92414909526383,67.0267600094951,87.29698759468496,85.30652028390452,92.43593768195333,93.48438113289859,109.92843188570562
9,71.36966714705409,67.97728047965303,85.11216027861505,79.08092883053033,88.21917948988747,86.94495773756111,102.28153627946092
10,66.0946677033731,63.87229836971966,80.67882525875534,73.74163987468498,81.96354247030405,82.57530310542128,100.11176751626327
11,62.83248528214049,62.79494326455695,76.44700851381722,68.7052511481413,77.73578102604125,82.57530310542128,91.6371307741901
12,57.77292740137386,59.517702290452064,70.20635850757076,65.45812727978095,76.62830881513403,79.31312068418868,88.35988980008523
13,57.77292740137386,53.11611678231625,68.03658974437309,63.17286531551764,71.33825081858082,72.88141807030838,80.85488738171757
14,57.77292740137386,52.30748950003535,68.05164829724536,61.14498974019701,72.41560592374351,69.5550176764467,74.75613056334815
15,53.43338987497853,51.21507584200039,63.712110770850046,57.755972683959605,68.07606839734821,66.27777670234182,65.18908016324
16,49.04867668996643,49.30674876842074,61.54234200765239,59.92574144715727,64.82894452898786,60.84988081858687,58.63459821503022
17,46.86384937389649,47.12192145235082,61.52728345478013,56.64850047305238,61.55898968814677,56.48022618644701,57.54218455699526
18,39.53085724915034,43.84468047824592,56.394105659440854,52.248800274703314,57.18933505600692,53.20298521234212,53.29530925918485
19,38.453502143987635,38.53956392882039,52.024451027301,51.283221251673126,53.912094081902026,49.925744238237236,52.22200945469748
20,31.92913730152237,36.59771342735571,50.92475123600224,51.268162698800865,50.79909098181023,46.648503264132344,46.12325263632801
21,27.746479976341032,33.350589558995345,48.866758554937086,50.1757490407659,47.5369085605776,42.43580037274179,38.76014340583734
22,26.654066318306068,33.350589558995345,43.71446690605022,47.990921724695966,45.49397443238471,38.349932116355994,32.34755464550459
23,26.66912487117833,31.18082079579768,41.54469814285256,42.55897054026567,46.57132953754741,33.02975701405821,31.25514098746963
24,21.25223223962031,28.995993479727755,38.12556398087063,40.37414322419574,44.39378835474128,31.93734335602325,29.085372224271968
25,20.159818581585345,27.88852126882054,33.77096790160304,38.204374460998075,42.20896103867136,26.47527506584845,27.992958566237007
26,20.159818581585345,26.81116616365784,31.593426718796913,30.565251274361813,38.93172006456646,23.32081342607301,25.808131250167087
27,19.052346370678126,24.626338847587917,26.161475534366623,27.31812740600145,34.56206543242662,22.243458320910307,19.410601042706613
28,18.92551173567335,21.486935760684737,22.899293113134004,28.3804239582919,32.205299362270445,17.873803688770465,16.01058073427229
29,13.608567465964041,16.039926023382197,21.80687945509904,28.3804239582919,25.658103547324473,16.7813900307355,13.825753418202368
30,13.608567465964041,16.039926023382197,19.887859926115077,26.225713747966495,25.658103547324473,17.873803688770465,12.733339760167407
31,15.778336229161704,17.132339681417154,18.810504820952374,26.225713747966495,25.658103547324473,16.923283218612536,11.640926102132447
32,15.778336229161704,15.09669168648806,18.810504820952374,25.148358642803792,25.658103547324473,16.923283218612536,12.733339760167407
33,14.68592257112674,15.09669168648806,19.90291847898734,26.225713747966495,26.72040009961492,18.015696876647496,11.640926102132447
34,14.55908793612197,16.047212156645987,17.74043584905347,27.303068853129197,26.843179433944357,18.015696876647496,11.640926102132447
35,15.636443041284672,19.302108444614817,17.74043584905347,27.16117566525216,26.85823798681662,17.09522197269878,11.640926102132447
36,15.636443041284672,19.309394577878606,17.57578322823101,28.25358932328712,26.85823798681662,17.09522197269878,10.548512444097486
37,16.728856699319632,19.3166807111424,17.57578322823101,29.330944428449822,25.76582432878166,17.09522197269878,10.548512444097486
38,14.539974082574378,21.50150802721232,18.668196886265974,27.303068853129194,25.76582432878166,17.09522197269878,10.548512444097486
39,15.632387740609339,21.508794160476118,19.637831209971495,26.382593949180478,22.62642124187848,17.09522197269878,10.548512444097486
40,15.632387740609339,21.493735607603856,19.637831209971495,27.467721473951645,21.53400758384352,15.033173990958304,11.499032914255414
41,15.632387740609339,21.493735607603856,19.637831209971495,27.467721473951645,22.62642124187848,14.876293789744317,11.499032914255414
42,15.632387740609339,21.493735607603856,18.668196886265974,27.467721473951645,22.611362689006217,14.876293789744317,12.591446572290375
43,15.632387740609339,20.4013219495689,18.65313833339372,25.405673492211168,22.611362689006217,14.876293789744317,11.506319047519206
44,15.632387740609339,19.323966844406193,15.621456027947717,24.436039168505648,21.549066136715776,14.876293789744317,10.53668472381369
45,16.70974284577204,18.231553186371233,14.544100922785015,23.34362551047069,20.44888005907235,14.876293789744317,10.53668472381369
46,15.632387740609339,18.231553186371233,14.544100922785013,22.26627040530799,21.52623516423505,14.876293789744317,11.62909838184865
47,15.632387740609339,18.231553186371233,10.454177365723906,20.327001757896948,22.603590269397753,15.968707447779277,10.53668472381369
48,16.7248013986443,18.231553186371233,10.454177365723906,19.24187423312578,23.688717794168923,15.968707447779277,10.53668472381369
49,17.81721505667926,18.231553186371233,10.454177365723906,18.16451912796308,21.675829232185247,17.061121105814237,9.444271065778727
50,18.767735526837185,18.231553186371233,12.639004681793828,18.17957768083534,21.675829232185247,17.061121105814237,9.444271065778727
51,16.955301514430925,17.139139528336273,9.499601594890647,19.264705205606507,22.768242890220208,15.968707447779277,9.444271065778727
52,15.862887856395963,17.139139528336273,9.499601594890647,21.42718783554038,21.675829232185247,15.953648894907019,10.536684723813687
53,15.862887856395963,17.139139528336273,10.576956700053348,21.42718783554038,19.50606046898758,15.792641853482394,9.444271065778727
54,15.862887856395963,17.139139528336273,10.576956700053348,20.33477417750542,19.50606046898758,16.885055511517354,8.351857407743767
55,14.785532751233262,16.061784423173574,10.576956700053348,21.277522228054877,17.343577839053715,16.74316232364032,7.259443749708806
56,16.95530151443092,16.061784423173574,10.576956700053348,22.35487733321758,17.343577839053715,15.65074866560536,7.259443749708806
57,14.927425939110297,15.111263953015644,9.656481796104636,22.35487733321758,17.34357783905371,16.74316232364032,7.259443749708806
58,14.927425939110297,17.296091269085565,9.656481796104636,18.15723299469929,18.435991497088676,14.558335007570399,7.259443749708806
