time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,111.00218735747094,126.04286785086724,114.54679410146151,118.25503306838402,128.1622914836519,151.1261902583069,113.44719061610083
1,105.68524308776163,123.87309908766959,115.51529316028754,115.1497308483654,127.09999493136144,147.84894928420204,114.53960427413578
2,103.7842021474458,122.78068542963463,112.39500392693195,108.61030745302791,123.81869865658123,145.66412196813212,112.35477695806588
3,97.27489585785284,119.63350992312299,107.90580079305114,105.59045286786571,119.59093721231844,142.38688099402725,111.26236330003091
4,96.18248219981788,118.53332384547956,105.72097347698123,103.4056255517958,114.14392747501593,139.10964001992238,103.63052624665849
5,96.35442095390412,115.6817624350058,100.41585692755574,99.96737753626631,113.05151381698097,138.01722636188742,99.3836509488481
6,94.02770044995717,109.1423390396683,96.16898162974535,96.7051951150337,109.78933139574838,133.6475717297476,98.14934410293611
7,90.7504594758523,106.81561853572136,89.77145142228491,92.47337837009556,104.46915629345061,126.00067612350288,97.05693044490114
8,91.82781458101499,102.46102245645379,86.66614920226628,91.39602326493286,101.31469465367518,122.84621448372745,95.13677565103771
9,86.63041881304669,96.2163886890673,85.60378111044054,89.21119594886295,94.76021270546543,117.41426329929719,96.22918930907267
10,79.39122418176497,94.30028919587919,81.24918503117297,84.85659986959537,93.65274049455823,111.00167453896448,94.18625518087978
11,75.1744659896991,91.20234464865968,74.83982710342872,80.62478312465724,89.30543054855445,107.72443356485962,89.11163874724092
12,70.80481135755925,86.86280712226436,72.8119515281081,77.50449389130166,82.76600715321698,103.49667212059681,87.09875018525726
13,70.78975280468698,83.61568325390401,71.71953787007314,74.2272529171968,81.67359349518202,94.23939836177661,81.65174044795474
14,63.59452702760727,79.25331475502797,68.5841900838453,70.95001194309192,80.69667303821271,89.99252306396623,76.18967215777995
15,60.47423779425167,76.1139116681248,65.21428688115552,68.92213636777129,73.31444995417448,88.91516795880354,74.00484484171004
16,60.47423779425167,74.07097753993192,60.05106351960705,64.82849569177706,70.19416072081891,88.08742682297506,71.99195627972637
17,57.36900711376833,69.83916079499377,57.86623620353712,56.26119672111891,66.10423716375782,81.79761739697179,65.45253288438887
18,55.31101443270317,64.92555140277952,54.58899522943223,54.225548726189814,57.68976309363831,73.34209450844621,62.42085057894288
19,54.37555251541751,60.586013876384186,54.715829864437005,54.083655538312776,56.61240798847561,73.33432208883774,60.392975003622254
20,54.36049396254525,53.237963198765776,46.30541109499285,49.71400090617293,53.36528412011524,67.87225379866294,56.0233203714824
21,54.34543540967299,48.89842567237043,44.38639156600889,44.39382580387515,51.19551535691757,64.61007137743033,48.64109728744412
22,53.25302175163802,48.74147393162114,44.38639156600889,42.208998487805225,50.10310169888261,62.42524406136041,44.27144265530426
23,48.89842567237043,45.59429842510949,40.15863012174608,37.03071657338449,48.995629487975386,58.055589429220554,43.056249662939855
24,47.80601201433547,45.59429842510949,36.89644770051344,33.876254933609054,44.77887129590949,54.63645526723863,39.77900868883496
25,44.4092225384896,44.501884767074536,34.74173749018804,31.698713750802924,42.75099572058887,50.51235930375766,37.594181372765036
26,39.91224698500031,37.99257847748154,32.69880336199515,25.15929035546542,38.403685774585064,39.46544338907857,31.039699424555256
27,37.72741966893039,40.14728868780694,29.451679493634792,24.074162830694245,34.03403114244521,37.295674625880906,26.670044792415418
28,32.40318926595729,32.415016986241085,31.62873439009625,17.833584363983068,34.03403114244521,28.556365361601213,21.20797650224062
29,24.928303953334108,29.260555346465644,27.27413831082866,16.741170705948104,30.75679016834033,27.33711706856148,16.98021505797781
30,26.035776164241327,26.15532466598232,28.351493415991364,16.848891487405286,30.75679016834033,26.244703410526515,14.795387741907886
31,24.95064863947016,27.232679771145015,27.27413831082866,16.848891487405286,29.664376510305374,26.244703410526515,15.745908212065814
32,24.95064863947016,28.18320024130294,27.416031498705692,17.818525811110806,28.58702140514267,26.244703410526515,16.838321870100774
33,26.04306229750512,28.18320024130294,28.358779549255154,18.89588091627351,28.694742186599854,26.244703410526515,16.838321870100774
34,24.9355900865979,27.083500450004195,28.358779549255154,19.01866025060295,28.709800739472108,27.31800321501389,16.838321870100774
35,23.96595576289238,26.113866126298674,28.358779549255154,19.00360169773069,29.78715584463481,26.240648109851186,16.838321870100774
36,23.015435292734455,23.951383496364805,29.458965626898582,18.995829278122223,28.817521520929297,26.240648109851186,14.653494554030853
37,22.996321439186868,24.90190396652273,29.474024179770836,21.165598041319882,27.62061791402561,25.148234451816226,14.653494554030853
38,20.833838809253,22.839855984782254,27.427034750902614,21.165598041319882,27.62061791402561,24.055820793781262,13.561080895995893
39,21.9111939144157,21.74744232674729,26.334621092867653,21.17288417458368,26.53549038925444,26.08369636910189,13.561080895995893
40,21.9111939144157,19.450838928544854,25.36498676916214,20.20324985087816,24.48850096038622,24.99128271106693,13.683860230325335
41,21.9111939144157,20.401359398702787,25.364986769162137,20.20324985087816,23.5188666366807,27.15699617358926,12.591446572290375
42,21.9111939144157,20.401359398702787,25.364986769162137,18.17537427555753,22.426452978645735,27.15699617358926,12.468667237960933
43,19.86420448554748,21.47871450386549,25.364986769162137,19.267787933592494,22.426452978645735,26.187361849883743,12.468667237960933
44,18.894570161841962,23.663541819935404,25.364986769162137,18.063598193425015,22.426452978645735,22.910120875778862,12.468667237960933
45,18.894570161841962,22.85491453765451,25.364986769162137,15.893829430227353,22.426452978645735,22.738182121692617,11.499032914255414
46,17.917163418527974,22.977693871983952,24.27985924439097,13.846840001359135,21.456818654940218,24.923009437762538,11.499032914255414
47,17.917163418527974,20.915645890243468,26.43456945471637,13.846840001359135,21.456818654940218,23.972488967604612,13.541967042448302
48,14.796874185172385,20.915645890243468,24.495300807305338,13.846840001359135,21.456818654940218,23.972488967604612,12.572332718742784
49,13.954074496471641,21.99300099540617,24.510359360177596,14.924195106521838,20.37169113016905,23.815608766390625,12.572332718742784
50,11.784305733273978,24.17782831147609,23.540725036472075,17.0939638697195,20.37169113016905,23.800550213518363,12.572332718742784
51,10.706950628111276,24.17782831147609,23.540725036472075,17.0939638697195,18.309643148428574,23.800550213518363,12.579618852006577
52,11.784305733273978,25.14340733450628,22.463369931309373,17.0939638697195,16.13987438523091,23.942443401395398,14.764446168076498
53,10.691892075239018,23.08864548602959,21.370956273274412,19.13689799791239,13.977391755297042,24.172943517182023,14.764446168076498
54,10.691892075239018,22.003517961258424,20.278542615239452,19.13689799791239,13.977391755297042,23.080529859147063,13.81392569791857
55,10.691892075239018,21.0529974911005,19.186128957204495,20.229311655947345,13.977391755297042,23.080529859147063,13.81392569791857
56,10.691892075239018,21.0529974911005,18.23560848704657,22.38402186627275,13.977391755297042,21.988116201112103,14.90633935595353
57,10.691892075239018,19.990700938810054,16.05078117097665,23.453604551826988,15.069805413332002,23.099643712694654,14.90633935595353
58,9.614536970076315,19.990700938810054,14.980712199077736,24.404125021984914,15.069805413332002,24.192057370729614,15.87597367965905
59,8.514837178777563,21.083114596845014,15.950346522783256,24.404125021984914,13.850557120292269,25.284471028764575,15.87597367965905
